YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.7362104	0.6466813	0.5275611	0.8986160	0.4441034	0.3404979	0.8819346	0.5811426	0.4881780	0.9495974
0.5481959	0.7372879	0.3905226	0.9964275	0.2085817	0.9751633	0.0688291	0.1098871	0.8816917	1.0106187
0.8451701	0.5536889	0.9115307	0.4837685	0.3423719	0.4459345	0.7697877	0.8554807	0.4311772	0.7198012
0.4109734	0.9327056	0.5091382	1.1678051	0.6218283	0.0737480	0.7725263	0.6431861	0.5931615	0.7824196
0.4503510	0.9591045	0.4162122	1.1402581	0.6035802	0.1825309	0.5713680	0.5140029	0.6171902	1.0353486
0.9566746	0.4577859	0.6286943	0.9278062	0.2536466	0.8520636	0.3756360	0.3816463	0.8545027	1.0884429
0.8232167	0.6256238	0.6815954	0.7913078	0.4461412	0.7437683	0.0014980	0.0335237	0.8397183	0.8971028
0.8107019	0.7952155	0.7045382	0.6850251	0.3335819	0.6273419	0.4107733	0.4585958	0.6248684	0.9810531
0.2936765	0.9140795	0.5995353	0.9143292	0.3935863	0.5948344	0.0653585	0.1125854	0.9786057	0.9375499
1.0235597	0.4821606	0.3877211	1.0104473	0.4733943	0.7739902	0.0228008	0.1090803	0.8243830	1.0326154
