YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0000000	0.0710689	0.0221057	0.0002661	0.6945856	0.3779689	1.0000000	0.2643166	0.4988575	1.0000000
0.9999411	0.0000017	0.4078285	0.5637800	0.6945856	0.3779689	1.0000000	0.2519201	0.1050965	1.0000000
0.9999159	0.0143131	0.0000004	0.5637793	0.6945856	0.3779689	1.0000000	0.2519018	0.1050904	1.0000000
0.9971683	0.0694082	0.0219678	0.0000000	0.6945856	0.3779689	1.0000000	0.2643166	0.1087508	1.0000000
0.0219241	0.9999975	0.5295034	0.8912646	0.0000001	0.3779689	1.0000000	0.4387981	0.6637019	1.0000000
0.0219241	0.9999975	0.5270197	0.8831349	0.0070220	0.0000000	1.0000000	0.4378122	0.6623081	1.0000000
0.0219251	0.9999806	0.3482573	0.4437676	0.9493416	0.9999938	0.0000000	0.6394271	0.8971568	1.0000000
0.0219251	0.9999807	0.3483274	0.4438994	0.6945856	0.3779689	1.0000000	0.0000062	0.4805624	1.0000000
0.0219251	0.9999807	0.3483274	0.4438994	0.6945856	0.3779689	1.0000000	0.2643166	0.0000055	1.0000000
0.0219251	0.9999807	0.3483274	0.4438994	0.6945856	0.3779689	1.0000000	0.2643050	0.4988534	0.0000030
