YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.0000000	0.0118233	0.0340768	1.0310430	0.7060261	1.0580602	0.0457262	0.8389054	1.0442880	1.0130876
0.6625139	0.0000000	0.4813886	0.7951210	0.6798017	0.9889043	0.0532252	0.9111369	1.0116192	0.9376711
0.9842280	0.0155114	0.0000000	0.6161110	0.6487435	0.9774296	0.0451795	0.8218476	1.0038952	1.0226568
0.3071103	0.7323457	1.1063163	0.0000000	0.6560363	0.9870967	0.0333150	0.9086830	1.0356301	0.9672583
0.5954477	0.3111868	0.5381083	0.6373922	0.0000000	0.8940725	0.0510945	0.8306772	0.9754165	0.9976991
0.5497490	0.3817895	0.3756588	0.7685780	0.0127099	0.0000000	0.5456685	0.8882744	1.0075651	1.1054026
0.5505892	0.3252680	0.5879256	0.7762380	0.6384120	0.9971303	0.0000000	0.8391474	0.9364873	0.9091205
0.5840887	0.2798800	0.4606206	0.8359510	0.5912628	0.9288768	0.0359985	0.0000000	1.0038120	0.9468413
0.6433837	0.2617467	0.4489829	0.8169984	0.7174240	1.0374078	0.0374376	0.0792310	0.0000000	0.9730571
0.6371602	0.2455805	0.5456243	0.9901355	0.0236110	0.9736386	0.0326198	0.8633617	0.9841465	0.0000000
