"Time"	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W

0	0.2727780	0.5809836	0.6775342	0.9603315	0.0455090	0.0208798	0.0435043	0.9429291	1.0095516	0.8930676
50	0.1994842	0.6217938	0.5979001	0.9568870	0.0744847	0.0198732	0.0493943	1.0114361	0.4072170	1.0070828
100	0.1942172	0.5871972	0.5147117	0.8368345	0.0422539	0.0106826	0.0552321	1.0656589	0.2400377	0.9691046
150	0.1914211	0.6454451	0.4011741	0.7362819	0.0456125	0.0116637	0.0460558	1.0927235	0.2587232	1.0156705
200	0.2630998	0.7377689	0.4012683	0.5998930	0.0717617	0.0167413	0.0256753	0.9901270	0.2546101	1.0246845
250	0.3405637	0.7994913	0.4212608	0.6114933	0.0481928	0.0212426	0.0363190	0.9750291	0.2521199	1.0358155
300	0.3504713	0.7543367	0.3207115	0.6424359	0.0388734	0.0190199	0.0593706	1.0197589	0.2466816	0.9001480
350	0.3491346	0.7598839	0.3312752	0.6800760	0.0466460	0.0080083	0.0642347	1.0141932	0.2306441	1.0151097
400	0.3972879	0.8045834	0.3031098	0.6021583	0.0622107	0.0087018	0.0424168	0.9471165	0.2805662	1.0752368
450	0.4072066	0.9213901	0.2997991	0.6304398	0.0471262	0.0199070	0.0718419	0.8969354	0.2314865	1.0001321
500	0.3950078	0.8539804	0.3100624	0.6455368	0.0421523	0.0123414	0.0515440	0.9833331	0.1822209	0.8839014
550	0.4501156	0.8906539	0.2662041	0.6966048	0.0396979	0.0169097	0.0520085	0.9629338	0.7309645	0.9193380
600	0.4694807	0.8868356	0.3489550	0.8904801	0.0460342	0.0237014	0.0667457	0.9896032	0.9454384	1.0132727
650	0.4429112	0.8297505	0.4838141	0.8457738	0.0605713	0.0131268	0.0411628	1.0282095	0.9068288	1.0838960
700	0.5171303	0.7771224	0.5001693	0.8403940	0.0487655	0.0144431	0.0456705	0.9973294	0.9489071	1.0233505
750	0.4261308	0.7555661	0.5514784	0.8122226	0.0356776	0.0219702	0.0487045	0.9508131	0.9358043	0.9623855
800	0.3167684	0.6038309	0.5969829	0.8864710	0.0378451	0.0171376	0.0438677	1.0488911	0.9487029	0.9662033
850	0.2937555	0.6381452	0.5727967	0.9005277	0.0412048	0.0163569	0.0326944	0.9860517	0.9923653	0.9777049
900	0.2941575	0.5613012	0.5370010	0.8695510	0.0474823	0.0069399	0.0501336	1.0252348	1.0074296	0.9498099
950	0.3522716	0.5989270	0.5501212	1.0383029	0.0413936	0.0126526	0.0623869	0.9365989	1.0882054	0.9206189
1000	0.3035579	0.6377646	0.6606371	1.0306024	0.0303923	0.0204021	0.0549402	0.9935320	0.9869156	0.9637210

0	0.2727780	0.5809836	0.6775342	0.9603315	0.0455090	0.0208798	0.0435043	0.9429291	1.0095516	0.8930676
50	0.2330238	0.5070502	0.8958373	0.9878959	0.0529429	0.5240605	0.0291571	1.0940003	1.0479808	0.9475722
100	0.1964232	0.3813722	1.0132498	0.9725494	0.1542323	0.7086081	0.0180219	1.0310931	0.9742745	0.9198032
150	0.1524735	0.3494627	1.1040004	0.9261292	0.2498463	0.7893337	0.0227400	0.9498804	0.9390546	0.9599305
200	0.1058598	0.3457408	1.0443418	0.8210447	0.3834242	0.7487946	0.0234438	0.9617296	0.9323380	0.8640582
250	0.1107009	0.2955975	1.0921686	0.7274079	0.3703512	0.8014411	0.0175681	1.0013003	0.8910896	0.9565980
300	0.0893675	0.3175365	1.0689070	0.7130309	0.4174231	0.7993950	0.0167153	1.0419433	0.9955518	0.9385152
350	0.0953720	0.2674612	1.0189048	0.6051616	0.4913045	0.8158613	0.0180593	0.9433001	1.0141926	1.0125638
400	0.1151122	0.3095612	1.0055211	0.7147705	0.4525541	0.8322650	0.0175132	1.0617397	1.0190453	0.9961193
450	0.0893054	0.3486358	0.9773004	0.6450240	0.4862949	0.8072065	0.0172338	1.0297495	1.0253675	0.9012702
500	0.1041899	0.3111808	1.0553956	0.6998188	0.4897849	0.8221081	0.0300166	0.9813737	0.9325103	1.0041768
550	0.0648967	0.2784093	0.7434390	0.6202402	0.4400519	0.5820454	0.0403969	1.0400674	0.9827691	0.9932763
