YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.2249408	0.0261265	0.2241463	0.7022493	0.7647094	0.0064325	0.6889204	0.6396997	0.5292940	0.4257209
0.0065491	0.0135040	0.3198392	0.6617116	0.7490570	0.0029836	0.7830821	0.7490885	0.6221224	0.4355449
0.4792336	0.2360676	0.2613952	0.6530791	0.5232483	0.0010121	0.6961979	0.7110854	0.5554527	0.4387596
0.0246966	0.0489599	0.2694792	0.7863854	0.7875682	0.0036715	0.8026213	0.6636890	0.4679897	0.5590762
0.0064975	0.0130428	0.3067512	0.6249577	0.6422663	0.0034078	0.6156969	0.6684461	0.5407804	0.5995232
0.0287001	0.0499059	0.3967747	0.4410578	0.6772349	0.0188311	0.5471632	0.7475739	0.8112885	0.1516476
0.0762564	0.0131239	0.2282907	0.6239890	0.7612359	0.0007837	0.6879813	0.6233333	0.5285177	0.4293750
0.2613321	0.0021625	0.2382727	0.7330938	0.6784731	0.0094017	0.6751318	0.6730030	0.4533034	0.5130062
0.3487882	0.1632596	0.2910447	0.8724152	0.6514820	0.0076040	0.7290030	0.6866009	0.4784965	0.5679163
0.4105681	0.3293938	0.2167924	1.0000000	0.6177146	0.0195101	0.7248671	0.6599936	0.6257855	0.4396032
