YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.0000031	0.6041978	0.6021579	0.8132408	0.3744160	0.9974043	0.2462883	0.9470851	0.1103989	1.0000000
0.0165857	0.0000057	0.6021436	0.8131944	0.3741868	0.9985421	0.2172140	0.9999987	0.1103989	1.0000000
0.0165884	0.9999827	0.0000003	0.8132802	0.3746370	0.9962757	0.2667136	0.9139692	0.1103989	1.0000000
0.4261090	0.9343261	0.3773609	0.0000039	0.3746195	0.9963623	0.2653885	0.9160007	0.1103989	1.0000000
0.5168155	0.6251134	0.5909447	0.7802744	0.0000012	0.9973337	0.2481185	0.9437179	0.1103989	1.0000000
0.5384638	0.7402806	0.5286226	0.6102429	0.9999964	0.0000008	0.2578986	0.9280834	0.1103989	1.0000000
0.5089121	0.6042510	0.6021233	0.8131317	0.3738910	0.9999994	0.0000015	0.9470793	0.1103989	1.0000000
0.1425318	0.9969597	0.1954076	0.8280037	0.6008610	0.3797471	1.0000000	0.0000000	0.9999973	1.0000000
0.3789489	0.4285912	0.6996606	0.8131933	0.3741858	0.9985433	0.2172113	0.9999994	0.0000000	1.0000000
0.0355381	0.9999284	0.0897294	0.3826295	0.5959955	0.3873304	0.9929026	0.1311118	1.0000000	0.0000000
