YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.5447249	0.4611081	0.4547447	1.0125570	0.1015182	0.6440307	1.0423945	0.4552302	0.9593048	0.2279864
1.0112250	0.1764161	0.4815542	0.8406774	0.1059214	0.8217627	0.9645632	0.4941198	0.9836866	0.3524643
1.0096334	0.8113234	0.2293165	1.0045899	0.1497934	0.8189027	0.9097525	0.5844018	0.9669720	0.1518430
0.9868776	0.3886956	0.5006155	0.5001645	0.0986870	0.7299744	1.1059770	0.5469041	0.9440688	0.2033018
1.0324870	0.4289648	0.5038233	1.0099178	0.0691190	0.7221198	0.9780016	0.5039949	0.8643213	0.1957877
0.9673512	0.2957797	0.6702295	1.0349418	0.1706307	0.3630402	0.8937061	0.4901893	0.9636699	0.2465696
0.9199425	0.3875881	0.6920111	1.0479100	0.1900220	0.2894879	0.4538490	0.5064640	1.0516372	0.2594576
1.0061008	0.3295875	0.5669414	0.9847301	0.1150188	0.7251479	0.9058265	0.2580411	0.9325144	0.2643261
1.0546461	0.4426722	0.5070871	1.1194741	0.1461022	0.7123714	0.9449990	0.6953408	0.4944121	0.2181547
0.9912600	0.3530863	0.4547505	0.9516814	0.1055487	0.6623638	1.0180028	0.5736012	0.9568054	0.1273290
