"Time"	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W

0	0.5217104	0.7090108	0.4196715	0.6190252	0.5314142	0.6386289	0.7440822	0.0278378	0.1310380	0.7599489
50	0.4692493	0.8027996	0.2187695	0.6537055	0.3475798	0.5895220	0.2544246	0.0221085	0.1697955	0.7415892
100	0.5129467	0.7251455	0.1904986	0.5926343	0.1401781	0.3663387	0.0943044	0.0607416	0.1842956	0.8951591
150	0.5209118	0.8643761	0.1747957	0.3699660	0.0460258	0.3219278	0.0564385	0.0500624	0.1363918	0.8273481
200	0.4853336	0.6583556	0.2433589	0.1491537	0.0393355	0.2364558	0.0216751	0.0324287	0.1088625	0.8418522
250	0.4808794	0.7632615	0.2558539	0.0501901	0.0110686	0.1314853	0.0111449	0.0142855	0.1062950	0.8903032
300	0.5937268	0.7325742	0.3216806	0.0346593	0.0222217	0.1621038	0.0098471	0.0426735	0.2119369	0.7469225
350	0.5478670	0.5945505	0.2607151	0.0028666	0.0177420	0.1103439	0.0499526	0.0421354	0.1800415	0.7585919
400	0.4608457	0.7078425	0.3885597	0.0010839	0.0083008	0.1311687	0.0355142	0.0530988	0.1673066	0.8361136
450	0.5230618	0.6340477	0.3384661	0.0092775	0.0276673	0.1147021	0.0285526	0.0350099	0.1743952	0.7281870
500	0.6420417	0.6399130	0.3261098	0.0030373	0.0102700	0.0844170	0.0382509	0.0597383	0.1169575	0.7283850
550	0.5406378	0.6255475	0.5747832	0.0106986	0.0357013	0.2301839	0.5362755	0.0353320	0.1242785	0.7140229
600	0.5325803	0.8233522	0.7234314	0.0390935	0.1666407	0.5124297	0.6430464	0.0599210	0.1650338	0.8220578
650	0.3497011	0.7587280	0.6397343	0.2448284	0.2842253	0.5725111	0.7026448	0.0299601	0.1951385	0.6430336
700	0.4134638	0.8066082	0.6572589	0.4607813	0.3364221	0.5395407	0.7346910	0.0243418	0.1893446	0.7965086
750	0.4692308	0.7774975	0.6639046	0.5060500	0.3233427	0.5363054	0.7479897	0.0208227	0.1254380	0.8565239
800	0.4345507	0.7462630	0.5601205	0.5456741	0.3961229	0.4852197	0.8063660	0.0251364	0.1061199	0.8033408
