YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.0000000	0.6879384	0.3968714	0.5831891	0.5158289	0.3736365	0.0590462	0.6509953	0.3090245	0.6511408
0.6907395	0.0000000	0.3418064	0.4518386	0.4604972	0.3398700	0.0722738	0.8122858	0.3264989	0.7056513
0.5525435	0.7373999	0.0000000	0.6872337	0.5313322	0.0941414	0.0896026	0.5978484	0.2116001	0.7865575
0.4989910	0.4471481	0.3018996	0.0000000	0.4224762	0.5068536	0.2081621	0.3959764	0.3573843	0.7975959
0.5672520	0.6609476	0.0154282	0.0101608	0.0000000	0.4200480	0.2220181	0.3485658	0.2815552	0.8212391
0.5344960	0.7030190	0.1626355	0.5313934	0.3257778	0.0000000	0.1119234	0.8665814	0.3169704	0.7095611
0.4940658	0.7553285	0.2810731	0.5523108	0.3291270	0.1430670	0.0016772	0.6698854	0.2865228	0.8106249
0.2519081	0.4118628	0.3125716	0.6540962	0.4311312	0.6305361	0.7493171	0.0000000	0.3046943	0.6174219
0.4718845	0.3684290	0.3966220	0.5646132	0.6137897	0.6457001	0.1788101	0.4388924	0.0000000	0.7265084
0.5566204	0.4546083	0.3360733	0.5182221	0.5226190	0.5745884	0.1450454	0.4771052	0.0455390	0.0000000
