YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.0000000	0.6888651	0.7404443	0.1349072	0.0882466	0.8943618	0.7772397	0.5311501	0.3755084	0.7577440
0.0302575	0.0000000	0.6221330	0.1076183	0.1243815	0.7489322	0.6786426	0.2139330	0.7091559	0.7705591
0.0554672	0.0313975	0.0000000	0.1378341	0.1241880	0.5885853	0.8639599	0.2758195	0.7451703	0.7064704
0.7550236	0.7884569	0.6904502	0.0000000	0.0890717	0.7635953	0.7771945	0.6950822	0.4238031	0.8809833
0.7276486	0.7077204	0.7371155	0.0674254	0.0000000	0.7552919	0.5826538	0.5249905	0.4270649	0.7861205
0.0503543	0.0264869	0.0804764	0.6261355	1.0000000	0.0000000	0.4641204	0.1849966	0.8326651	0.7368396
0.0293546	0.0199673	0.0972541	0.5237549	0.8295328	0.0047281	0.0000000	0.2691465	0.6658174	0.8597720
0.7901246	0.7114743	0.6636312	0.0960053	0.1547582	0.6972409	0.8387833	0.0000000	0.4650203	0.6812555
0.7732459	0.7030908	0.6085512	0.0944620	0.0837511	0.7744578	0.7798256	0.6764164	0.0000000	0.7562249
0.0586054	0.0368814	0.0703188	0.5700177	0.6772279	0.0515132	0.0093436	0.4790169	0.5137274	0.0000000
