"Time"	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W

0	0.7723665	0.3071292	0.2295253	0.6705104	0.3038606	0.4172942	0.5164308	0.0060351	0.2330472	0.4603516
50	0.8184935	0.3505596	0.2547510	0.6748596	0.3173843	0.4231307	0.3794368	0.0519529	0.1724111	0.4029808
100	0.6511875	0.4390581	0.2283743	0.6708178	0.2893528	0.3413941	0.2411649	0.0927624	0.2858920	0.4035866
150	0.7006943	0.4840138	0.2376308	0.6214327	0.3853908	0.4222930	0.2320617	0.1535615	0.2853000	0.4977525
200	0.8992080	0.2391923	0.3554320	0.5250161	0.2663546	0.4417466	0.1849348	0.2092352	0.3194798	0.6258485
250	0.9248716	0.2774525	0.3875788	0.3745583	0.2075799	0.3991192	0.2258638	0.2376435	0.3690343	0.5677086
300	0.8551790	0.2067251	0.4447371	0.5491331	0.2570216	0.5473528	0.1177988	0.1913161	0.2589565	0.5690244
350	0.8514743	0.3127298	0.4547383	0.4432916	0.3478626	0.4497191	0.1635202	0.1558236	0.2462374	0.4292749
400	0.8043845	0.2741204	0.4939649	0.4730771	0.2556659	0.4885766	0.1603319	0.1324449	0.2360664	0.4687263
450	0.7148550	0.2618410	0.5530561	0.4716025	0.3435178	0.3380042	0.1331294	0.1493531	0.1955579	0.4406458
500	0.8351314	0.3662519	0.4481222	0.4954535	0.2240751	0.3882621	0.1633803	0.2007595	0.2496759	0.5413695
550	0.8117775	0.3246927	0.4489182	0.5155545	0.3875508	0.5450998	0.2940477	0.1404536	0.2858376	0.4780136
600	0.7704805	0.2316762	0.4167274	0.6364262	0.3615169	0.6107826	0.3892869	0.1178305	0.2250374	0.4304442
650	0.7645855	0.2411911	0.3225285	0.6491506	0.3906382	0.7202931	0.4956611	0.0779356	0.2605509	0.3997499
700	0.6879067	0.5442264	0.3262425	0.6338978	0.2969681	0.5636982	0.5183936	0.0297957	0.2484041	0.4189602
750	0.7936352	0.4355524	0.1909088	0.7248352	0.1964235	0.5188879	0.4860091	0.0274346	0.2431211	0.4774860
800	0.7754593	0.4049249	0.1771010	0.5345489	0.1819592	0.5976350	0.8777279	0.0305226	0.2318180	0.3299426
850	0.9214281	0.4040765	0.1978573	0.6710565	0.1991430	0.4642674	0.6686510	0.0289544	0.2860685	0.4397332
900	0.7693830	0.4262872	0.2093064	0.5804665	0.3694940	0.4855287	0.6358044	0.0128264	0.3106742	0.4518551
950	0.7208185	0.4006832	0.2743517	0.5878491	0.4173914	0.4699776	0.6992492	0.0370198	0.3587991	0.4740176
1000	0.8359264	0.3831742	0.3926712	0.5951161	0.3376985	0.5775853	0.5643800	0.0104514	0.3547067	0.3783459

0	0.9117561	0.2808931	0.2421874	0.7018093	0.4851639	0.4270117	0.6559734	0.0132002	0.1870388	0.3695617
50	0.7550668	0.4159324	0.1817168	0.5551336	0.2523580	0.4123406	0.4951457	0.1004435	0.3723680	0.4971148
100	0.6394741	0.2341657	0.3119882	0.4616407	0.3077547	0.3282665	0.4731921	0.2789331	0.4313947	0.5053889
150	0.7404140	0.4300517	0.3285574	0.4593939	0.4741437	0.3014442	0.2762078	0.4801233	0.4445255	0.5951408
200	0.7871266	0.4368160	0.2817622	0.5512355	0.5561274	0.2133214	0.1786168	0.5785287	0.4148382	0.5554140
250	0.6858967	0.3503562	0.2724536	0.6005892	0.5274277	0.3910306	0.1754260	0.5699757	0.5128202	0.7438110
300	0.7633596	0.3087281	0.2592148	0.6486856	0.6532032	0.3146102	0.1643772	0.6642882	0.4097786	0.4645358
350	0.8381504	0.4227455	0.2541513	0.7030397	0.5724092	0.3257464	0.1121719	0.5889143	0.3877829	0.5790187
400	0.8610797	0.3009001	0.2559362	0.6919238	0.5218703	0.3069130	0.1143581	0.6026399	0.3974456	0.4912068
450	0.8560553	0.3258996	0.2178530	0.5227385	0.6819836	0.2984082	0.0981646	0.4491416	0.3945076	0.7238463
500	0.8726986	0.3272928	0.2424514	0.6612288	0.5624936	0.2989251	0.1463535	0.3848510	0.4081547	0.7314846
550	0.6841887	0.3251934	0.1710695	0.6467017	0.5720344	0.4852056	0.2622057	0.4496926	0.4067118	0.4183815
600	0.7489001	0.3674206	0.1826078	0.6754192	0.5251345	0.6502640	0.3481923	0.2171434	0.3492601	0.3764752
650	0.6557019	0.3744978	0.2137691	0.6570418	0.4062430	0.8141944	0.4703954	0.0743591	0.2680112	0.4350756
700	0.7616938	0.4239275	0.2081223	0.6404266	0.3931672	0.6547308	0.4780741	0.0388226	0.2739767	0.3745893
750	0.8381765	0.3548899	0.2171213	0.5140620	0.3376595	0.5968645	0.5855010	0.0283656	0.4087347	0.3683205
800	0.7298620	0.4099786	0.2548649	0.5066540	0.3825802	0.5700629	0.5640067	0.0249879	0.2775795	0.2456656
850	0.8929678	0.3923712	0.3515208	0.5729723	0.3461983	0.6741940	0.6897055	0.0227698	0.2035054	0.3616635
900	0.9571333	0.2771360	0.3941712	0.6237377	0.2373546	0.5730904	0.5565081	0.0086972	0.1870970	0.4609017
950	0.7115836	0.1889139	0.2544667	0.5069372	0.2985109	0.4985670	0.6072321	0.0325862	0.2061811	0.3888310
1000	0.8319779	0.4024407	0.2661285	0.7300949	0.3562303	0.5718453	0.8652357	0.0116007	0.2663636	0.3660276

0	0.7824525	0.3583206	0.2850646	0.5539550	0.4908230	0.5308549	0.5863368	0.0070001	0.2278974	0.4621807
50	0.6831038	0.3773823	0.3372348	0.5660865	0.3139546	0.4939711	0.6320686	0.0076893	0.4832548	0.3837055
100	0.8082566	0.3847237	0.2792953	0.4879919	0.3056730	0.5932119	0.6415285	0.0827150	0.7110951	0.4281933
150	0.8350066	0.2963170	0.3518288	0.3347046	0.3378353	0.4726622	0.6576600	0.1934833	0.5560442	0.4819139
200	0.8876512	0.2883903	0.5763591	0.3953430	0.3088398	0.5189551	0.7256824	0.2295979	0.7546846	0.4560000
250	0.8661308	0.3410118	0.5027731	0.4078742	0.3763813	0.5104994	0.7451444	0.3083584	0.9330101	0.5163930
300	0.8307267	0.2912319	0.5673398	0.3587809	0.3356102	0.4825901	0.7408322	0.3779854	0.7407542	0.3863908
350	0.7331010	0.2788460	0.5197894	0.3207519	0.3483848	0.5920109	0.5400269	0.5871239	0.8097486	0.5059759
400	0.8059129	0.2587461	0.5388685	0.3086199	0.3474451	0.4307727	0.5549992	0.5347272	0.7863506	0.4757196
450	0.9109782	0.1607471	0.5780775	0.3053513	0.4175751	0.5707938	0.4807946	0.4928679	0.9882448	0.4318106
500	0.6823915	0.1851465	0.6243204	0.3748822	0.3479136	0.6865940	0.4318012	0.4247037	0.7576194	0.5392506
550	0.5901655	0.2035666	0.4836934	0.2674752	0.2392252	0.6628188	0.5322475	0.4817825	0.4733902	0.3185884
600	0.7756719	0.3938016	0.5065312	0.3755146	0.2495094	0.4681814	0.6789406	0.3893298	0.3130854	0.4257107
650	0.7841393	0.2632904	0.4285120	0.3321922	0.2697940	0.5578015	0.7013682	0.2087742	0.3742020	0.3965235
700	0.7642119	0.3255669	0.5451107	0.3985030	0.3537854	0.4491468	0.6436226	0.1060638	0.3033994	0.5031795
750	0.7766670	0.3053685	0.6021432	0.4841807	0.3171064	0.4839465	0.5033889	0.0866117	0.2478008	0.4221379
800	0.7100179	0.1744419	0.4380642	0.5955255	0.3231926	0.4453658	0.6755812	0.0410508	0.2376622	0.4209009
850	0.6155708	0.4400772	0.4100343	0.5640180	0.3343437	0.4462372	0.6098357	0.0487442	0.2852887	0.4195182
900	0.7501932	0.3548907	0.2640755	0.7286896	0.2715258	0.5109743	0.6925411	0.0143079	0.3422455	0.4147732
950	0.8183601	0.3542639	0.2306065	0.5518180	0.3881736	0.4677705	0.6052141	0.0100968	0.2148157	0.3597961
1000	0.6579723	0.4391536	0.2875237	0.4714665	0.3348886	0.4970886	0.7153441	0.0150961	0.3653694	0.4816209

0	0.8479665	0.3543557	0.2410723	0.5612546	0.2971380	0.4379310	0.5442277	0.0119393	0.2194240	0.4747596
50	0.7647408	0.3629352	0.2514007	0.7624656	0.3072557	0.6051269	0.5834925	0.0193784	0.2628608	0.3491540
100	0.8775963	0.2861913	0.2994576	0.5978349	0.3235162	0.6600304	0.6007348	0.0076610	0.1970621	0.3939114
