YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.2039109	0.5419623	0.8628412	0.7999834	0.8721826	0.5568284	0.9692313	0.6696907	0.4672141	0.7278332
0.2117007	0.2709823	0.8628410	0.7999817	0.8721814	0.5568292	0.9692301	0.6696957	0.4672230	0.7278347
0.4402547	0.5924393	0.4314205	0.7999817	0.8721814	0.5568292	0.9692301	0.6696957	0.4672230	0.7278347
0.4107632	0.5467444	0.8332494	0.3130094	0.7178085	0.7743096	0.8708967	0.6874492	0.4762439	0.7126674
0.4180538	0.5576489	0.8638909	0.7999796	0.4360903	0.5568312	0.9732374	0.7453108	0.5088082	0.6554532
0.4063273	0.5400179	0.8640206	0.9710544	0.9850493	0.2643599	0.9738610	0.6606702	0.4628231	0.7353093
0.4199143	0.5609332	0.5861434	0.8019206	0.8736657	0.5543356	0.4846522	0.6695633	0.4671541	0.7279443
0.4079189	0.5425617	0.8444222	0.8000046	0.8721991	0.5567972	0.9038904	0.3348610	0.4672116	0.7278204
0.3112526	0.4053314	0.8056306	0.8000863	0.8722616	0.5566971	0.7995365	0.2093268	0.2866455	0.9487945
0.3000776	0.3899835	0.7896298	0.8001293	0.8722945	0.5566421	0.7631726	0.1820274	0.2742869	0.4783200
