YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.4315322	0.0726766	0.0447964	0.8424028	0.8629245	1.1168584	0.0651893	1.0953848	0.0434507	0.9571690
1.0809036	0.0063728	0.0491353	0.8606698	0.9198833	1.0094747	0.0525044	1.0341630	0.0430327	0.9905062
0.5733533	0.5744925	0.0239938	0.8516168	0.8663997	1.0346526	0.3237954	1.0110783	0.0573814	0.9201071
1.0287469	0.0020609	0.0700761	0.4307935	0.9504208	1.0994170	0.0272588	1.0009676	0.0451243	1.0987243
1.1003965	0.0102813	0.0788808	0.7439520	0.4896241	0.9885881	0.0322183	0.9950364	0.0548419	0.9673512
1.0325221	0.0100705	0.0541226	0.6806506	0.9327552	0.5595688	0.0396178	0.9736684	0.0631690	0.9892860
0.8895851	0.0365927	0.0642161	1.0035594	0.9457469	0.9595823	0.0299718	1.0157962	0.0331610	0.9030374
0.8415782	0.0211074	0.0544673	0.8750272	0.9616895	1.0347399	0.0487217	0.5006954	0.0463918	0.8769308
0.9629926	0.0481775	0.0780407	0.9093923	0.9938871	0.9204138	0.0459104	0.9224154	0.0518227	1.0238072
0.9813528	0.0015756	0.0631118	0.8329704	0.9065567	0.9956924	0.1044098	1.0984589	0.1896305	0.5131484
