YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.8084540	0.0205281	0.2839981	0.5449595	0.1703111	0.8857681	0.7543478	0.7526625	1.0504553	0.9935035
0.9880335	0.8603876	1.0123942	0.0860714	0.3277864	0.7677569	0.9786243	0.6108930	0.9407984	1.0506475
0.5737024	0.0092189	0.2667459	0.7310640	0.3441261	0.5542812	0.7991093	0.7136504	0.9742558	1.0832270
0.8083236	0.0496110	0.2973549	0.7637402	0.1184384	1.0454558	1.0872320	0.7034768	0.9820862	0.9591933
0.9345678	0.3940848	0.2596287	0.6026090	0.1910224	0.9425569	0.9475117	0.6461623	0.7873017	0.8482285
0.8990762	0.0030121	0.1640292	1.0138193	0.1496238	1.0035779	0.7267730	0.6919336	1.0398094	1.0315949
0.9963122	0.0160456	0.3280373	0.6933164	0.1502712	0.9685076	1.0104971	0.8514901	1.0422872	0.9803386
1.0038654	0.3311113	0.1269666	0.8863379	0.4210778	0.5391559	1.0488290	0.7387437	1.0648298	0.7879407
0.8331452	0.7369912	0.4511062	0.3760895	0.1670862	0.8975430	0.8323414	0.5222725	0.9390596	0.7280293
0.5079890	0.6733352	0.6299094	0.2894992	0.1701885	1.1058137	1.0225002	0.1417405	0.4775359	0.7219866
