YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.0000000	0.7005428	0.6751209	0.3379207	0.4165166	0.6999931	0.1183976	0.3645570	0.7178180	0.8214242
0.7422525	0.0000000	0.4110330	0.2856726	0.5102211	0.7429099	0.4717523	0.1229803	0.7981273	0.7555017
0.8094358	0.0778238	0.0000000	0.7675510	0.0258762	0.0667665	0.5948508	0.0565086	0.6903137	0.6404047
0.6679065	0.0889648	0.0192184	0.0000000	0.0378962	0.0414522	0.5557891	0.0978871	0.9729987	0.6442854
0.2109858	0.7596561	0.9082816	0.7031130	0.0000000	0.6375797	0.0970046	0.3768280	0.8160374	0.7845267
0.1411316	0.8962101	0.6355171	0.8024833	0.0416300	0.0000000	0.2668716	0.3320380	0.6388280	0.7715937
0.1016705	0.7093203	0.5463510	0.3128254	0.4882348	0.7008629	0.0000000	0.2750190	0.6520865	0.7731983
0.1748471	0.7043497	0.6097263	0.3917471	0.4723258	0.7717052	0.8746870	0.0000000	0.7859283	0.8482690
0.1941490	0.8038366	0.2908469	0.2540245	0.5025084	0.7510317	0.0491661	0.7275976	0.0000000	0.6025297
0.0945662	0.7445765	0.3724455	0.3274800	0.4330497	0.7447459	0.0762413	0.8567998	0.0183028	0.0000000
