YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.0000000	0.0208179	0.2388013	0.4674640	0.4577910	0.2458023	0.1767836	0.5345952	0.2679642	0.7223786
0.7702348	0.0000000	0.2856529	0.5801249	0.3624539	0.3025392	0.1384540	0.6989267	0.2488426	0.7321285
0.9033751	0.0362340	0.0000000	0.6645976	0.4684167	0.3514339	0.1846709	0.6623453	0.3213971	0.7724513
0.0605252	0.3616319	0.7033589	0.0000000	0.5814873	0.4431481	0.1270176	0.6633972	0.3108455	0.8096664
0.0366263	0.4269364	0.7875538	0.0547299	0.0000000	0.4163741	0.2447242	0.5617735	0.3352618	0.7879561
0.7167371	0.0244320	0.3011067	0.5002346	0.3480505	0.0000000	0.1489055	0.7629817	0.1732653	0.6608352
0.0436569	0.5535894	0.7179890	0.0655970	0.0951393	0.4347556	0.0000000	0.6191275	0.3433609	0.6570259
0.8519261	0.0366477	0.2263837	0.6032550	0.6171793	0.2080596	0.6778537	0.0000000	0.2252223	0.7157161
0.7949456	0.0639419	0.2658400	0.5746364	0.3977175	0.3852402	0.1335702	0.6806005	0.0000000	0.6712907
0.8119299	0.0537134	0.2141448	0.7116487	0.6787592	0.2746856	0.4931213	0.2634142	0.8236671	0.0000000
