YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0653485	0.4176145	0.6781395	0.4259266	0.3928797	0.1547622	0.5213981	0.0644434	0.1912386	0.4803123
0.0537663	0.3812144	0.5618961	0.3183155	0.2346004	0.0618816	0.2465052	0.7795630	0.4340706	0.0087755
0.0856634	0.5368426	0.4411169	0.3628383	0.2830100	0.1621130	0.3591759	0.5576569	0.5258634	0.2330290
0.0876403	0.5427588	0.5887002	0.5776571	0.1965161	0.3911498	0.3433249	0.6680925	0.7131317	0.7142323
0.0778705	0.5950944	0.3859098	0.2574687	0.3087829	0.0106316	0.3022926	0.2724124	0.3904410	0.0024891
0.1448673	0.5002537	0.6051493	0.2364115	0.1866139	0.4531642	0.1933441	0.6518917	0.6470053	0.7345452
0.0657403	0.5819663	0.4489820	0.2249311	0.2895217	0.4497013	0.5002506	0.4950031	0.4494623	0.7191042
0.1241339	0.5300610	0.4264260	0.2625245	0.3281232	0.0721030	0.3097086	0.5162420	0.3306211	0.0014940
0.0819260	0.5066856	0.4446631	0.1893168	0.3447450	0.2267362	0.3450086	0.2584788	0.2681992	0.3389602
0.1106229	0.5924736	0.3436922	0.2627313	0.1943037	0.3711339	0.3054095	0.7690217	0.5795642	0.6745590
