YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0506873	0.4657318	0.7128189	0.8240869	0.7271327	0.4806192	0.0729135	0.3968722	0.4973974	0.7932339
0.0460587	0.6217975	0.8015885	0.8838657	0.7899781	0.5965814	0.0156569	0.5862516	0.6654347	0.7425726
0.1178677	0.6346464	0.7454788	0.6249288	0.4479297	0.6209855	0.1833698	0.3283073	0.6869913	0.6931815
0.0870738	0.6267093	0.5913924	0.6903699	0.5228421	0.5909567	0.1171277	0.4609458	0.4420976	0.5767777
0.1383478	0.4905631	0.6300207	0.7408096	0.7654623	0.7868918	0.0083651	0.6524204	0.7357874	0.6508646
0.0896807	0.4778849	0.7652261	0.7457872	0.6854822	0.5804943	0.0871482	0.5586839	0.3498373	0.5217572
0.1107401	0.6367515	0.8066893	0.6613428	0.7656209	0.3948900	0.0091453	0.7497200	0.6808757	0.5896618
0.0645999	0.4403093	0.7262279	0.6245305	0.7037815	0.7220885	0.1316544	0.6805270	0.4382764	0.8194685
0.0884300	0.4920271	0.7644748	0.6215314	0.7084383	0.7263820	0.0155040	0.8646472	0.3959325	0.4629273
0.1313535	0.4094110	0.6935335	0.6533939	0.6911932	0.6468603	0.0287714	0.6571052	0.6410900	0.6481631
