YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.7478643	0.1396073	0.0000000	0.0661872	0.3435907	0.0581828	0.0000000	0.1215589	0.7983026	0.8457563
0.8377760	0.1243033	0.0000000	0.0373002	0.0483126	0.0000000	0.0639436	0.1236137	0.8535463	0.8988271
0.6193793	0.0944838	0.0000000	0.4341801	0.8027553	0.1622735	0.3634463	0.6434271	0.0000000	0.8162269
0.7191071	0.5000234	0.7695031	0.0128969	0.0638990	0.0000000	0.0000000	0.1521805	0.9803331	0.6852822
0.7336575	0.5390786	0.9228126	0.0447765	0.0554899	0.0000000	0.3971637	0.6066994	0.0000000	0.6694047
0.3981390	0.4268643	0.4704340	0.4852564	0.6239539	0.1659497	0.0000000	0.7810388	0.0000000	0.8026072
