YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.0000000	0.0692578	0.0394768	0.5507774	0.0263666	0.0421385	0.1263335	0.2433191	0.1620381	0.6906242
0.0049375	0.0000000	0.0283269	0.6762982	0.0077217	0.0444910	0.1345433	0.3817045	0.1497930	0.7941513
0.0545869	0.0864498	0.0000000	0.5979421	0.0404831	0.0411466	0.0735889	0.3460667	0.2288159	0.6466883
0.0400129	0.0560916	0.0366422	0.0000000	0.0396574	0.0546634	0.1264015	0.1019713	0.1247645	0.7779299
0.0212670	0.0306016	0.0255730	0.8557832	0.0000000	0.0370431	0.1698436	0.3989127	0.1165244	0.7757077
0.0425568	0.0411071	0.0140416	0.6295303	0.0404056	0.0000000	0.1640567	0.4624646	0.1836870	0.7348992
0.0455409	0.0627050	0.0303544	0.7299160	0.0275820	0.6076886	0.0000000	0.3204678	0.1481220	0.8046341
0.0419485	0.0216868	0.0308025	0.5877568	0.0179228	0.0350746	0.1194991	0.0000000	0.1844412	0.6050400
0.0387912	0.0459401	0.0200003	0.6412256	0.0113429	0.0499077	0.6391288	0.3549267	0.0000000	0.7603428
0.0336312	0.0269485	0.0207911	0.6204798	0.0374172	0.4458881	0.0338112	0.5593739	0.6503648	0.0000000
