"Time"	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
350	0.1678172	0.6444080	0.2363775	0.4806583	0.3402719	0.6523562	0.1736794	0.7052211	0.1155668	0.6918478
400	0.2741844	0.8374220	0.1944919	0.5730369	0.2317420	0.6924953	0.2611032	0.5829910	0.1023869	0.6496014
450	0.3103731	0.7051409	0.2287645	0.5603643	0.2353017	0.7695278	0.2188285	0.5398132	0.0828625	0.6307325
500	0.2067349	0.8901340	0.1529207	0.5160769	0.2551509	0.7700059	0.1883904	0.7427292	0.0616506	0.7752131
550	0.2029143	0.7379479	0.2982787	0.5179405	0.3479808	0.7319012	0.2187307	0.6677536	0.0785198	0.6409870
600	0.2772436	0.7993884	0.3125294	0.6941179	0.3333655	0.5808794	0.1689326	0.6541716	0.0856840	0.7989489
650	0.2734848	0.6957046	0.4654051	0.5290512	0.2733876	0.7271444	0.2028618	0.6444359	0.0837096	0.6708201
700	0.3178262	0.7072613	0.3944366	0.5268301	0.2931828	0.7385725	0.2877493	0.6556582	0.1051138	0.6691463
750	0.4172846	0.5883763	0.3811283	0.5552489	0.2616701	0.9475053	0.2713668	0.6631483	0.1012873	0.7448213
800	0.4087326	0.5392696	0.3656906	0.5514640	0.2413785	0.6095555	0.1655011	0.5966972	0.1258181	0.8161524
850	0.3833001	0.5621442	0.4081468	0.6526936	0.3168459	0.6782993	0.2035569	0.5838123	0.0656469	0.7919091
900	0.5382335	0.5981518	0.3921282	0.7237698	0.3193608	0.8443097	0.2237905	0.5098443	0.0604489	0.7580821
950	0.4450821	0.4430080	0.4311472	0.6030083	0.3582249	0.7058662	0.1890172	0.7307237	0.0821387	0.7034416
1000	0.4570826	0.4290829	0.3971553	0.5688405	0.2430903	0.7805268	0.2319764	0.7221080	0.0955398	0.7569770

0	0.2634955	0.4438931	0.5084719	0.6781812	0.2904607	0.6832399	0.2339489	0.8483359	0.0825957	0.7675807
50	0.2980544	0.5323137	0.4213510	0.6268524	0.1612282	0.6038137	0.1327654	0.4515337	0.0763510	0.5649822
100	0.3541817	0.4421226	0.4491434	0.5843092	0.0864687	0.3273339	0.2749703	0.3151968	0.0147803	0.3341578
150	0.4229191	0.3853371	0.4436827	0.5160969	0.1072561	0.2654568	0.3855359	0.2026165	0.0192524	0.3862697
200	0.3942750	0.4690770	0.4482054	0.6171759	0.0890108	0.3486822	0.4471810	0.1168958	0.0047277	0.2204959
250	0.4468582	0.4150171	0.4698897	0.3727117	0.0835595	0.2689244	0.4143340	0.1164679	0.0001692	0.2067910
300	0.2946827	0.3844365	0.3372510	0.4267872	0.0990589	0.2492616	0.6325361	0.0761970	0.0001583	0.2900449
350	0.3325425	0.3686810	0.3724430	0.4240999	0.0900940	0.1968236	0.4487560	0.1193725	0.0001093	0.2002460
400	0.2782022	0.3550306	0.3613016	0.3366342	0.0867893	0.2734969	0.4071873	0.1145716	0.0012339	0.2202740
450	0.2833816	0.5903521	0.4082373	0.3012061	0.0938383	0.2347578	0.4868684	0.0773999	0.0020314	0.2409877
500	0.3872570	0.5648648	0.4259149	0.2465387	0.1039947	0.2275505	0.4364907	0.0507651	0.0081333	0.1800857
550	0.3438460	0.4913918	0.3700368	0.2770225	0.2450307	0.2533798	0.5628729	0.1835939	0.0281738	0.2890895
600	0.3139014	0.4676965	0.3125104	0.3444505	0.3340081	0.4079425	0.5787022	0.4320941	0.1039785	0.5792043
650	0.3756613	0.5411609	0.3725564	0.5792949	0.3102559	0.4437823	0.5910610	0.6144911	0.0966867	0.7141096
700	0.3664827	0.6223419	0.3799834	0.5338971	0.3132410	0.5573018	0.3395705	0.7324828	0.0553539	0.6527185
750	0.4578752	0.5486107	0.4803990	0.6279829	0.2904672	0.6241341	0.3277620	0.7957340	0.0530197	0.7550594
800	0.4742291	0.5241906	0.5062544	0.5242999	0.3660240	0.6412405	0.2591306	0.7138608	0.1058586	0.6919394
850	0.3425861	0.4225365	0.4205757	0.6178438	0.2686996	0.6836549	0.1308096	0.6744145	0.0807842	0.7143775
900	0.3637453	0.6214992	0.3299109	0.5613527	0.3066989	0.8094064	0.1781585	0.7759615	0.0597244	0.8140337
950	0.4338971	0.5154282	0.4501384	0.4936269	0.2669915	0.7597052	0.1582325	0.7182108	0.1312635	0.7851648
1000	0.3774159	0.4722962	0.4312471	0.5871755	0.2482878	0.6923167	0.1636940	0.6720303	0.0387594	0.8983154

0	0.4671504	0.5014632	0.4377454	0.6901315	0.2623585	0.7965433	0.2016518	0.8393568	0.0500510	0.8656291
50	0.3215451	0.3784384	0.3553276	0.7467043	0.2889028	0.7401956	0.1258899	0.7155894	0.0627103	0.7970874
100	0.3112791	0.4992503	0.4052935	0.4581908	0.2203068	0.4264512	0.1030153	0.6723901	0.1396510	1.0028239
150	0.4388643	0.5732692	0.4726683	0.6694429	0.2909377	0.4218914	0.1371409	0.6088339	0.0698798	0.7395925
200	0.2672111	0.3889043	0.5554867	0.6710782	0.3191485	0.3927614	0.0611247	0.6660236	0.0543950	0.8413804
250	0.3182728	0.3191200	0.4377060	0.5497663	0.3857315	0.3617195	0.1295298	0.7986640	0.0747632	0.8161096
300	0.3882963	0.4289714	0.3939414	0.5716050	0.4171193	0.3750530	0.1640907	0.6396025	0.0662795	0.9089777
350	0.3314201	0.3613683	0.4551101	0.7221562	0.5067110	0.3839445	0.0797695	0.8813631	0.0671997	0.7282541
400	0.3707577	0.3509955	0.3495326	0.7241645	0.3892431	0.3720149	0.0873572	0.8737188	0.0670036	0.7720679
450	0.3824783	0.3932369	0.5265141	0.6746424	0.3854035	0.4173347	0.0857102	0.7074122	0.0881613	0.7828857
500	0.4079434	0.4728745	0.4256245	0.5728015	0.3407484	0.3191817	0.0913364	0.8419884	0.0908454	0.8157610
550	0.4028158	0.4594044	0.5717871	0.6228444	0.4058824	0.4692059	0.1204966	0.6534894	0.1393554	0.8718262
600	0.3279438	0.4165514	0.4876663	0.6410579	0.3540300	0.5361200	0.1065156	0.7813097	0.0969291	0.9047195
650	0.4052687	0.4055356	0.4457930	0.6942844	0.3243437	0.5486207	0.1575147	0.6768500	0.0787114	0.9291124
700	0.3394051	0.3943579	0.4545971	0.6051006	0.2624622	0.7639139	0.1143597	0.7769655	0.0501377	0.7395960
750	0.3637406	0.3380645	0.5765651	0.6256147	0.2531071	0.9346838	0.1059023	0.6824688	0.1495314	0.8002895
800	0.4212677	0.3502495	0.5100836	0.6192701	0.2395459	0.8267324	0.1062093	0.6430272	0.0518372	0.8601262
850	0.3084078	0.3545023	0.4033654	0.5514249	0.3308299	0.7008365	0.1305014	0.6687625	0.1021238	0.7558331
900	0.2305354	0.3640789	0.5919580	0.5853643	0.3150293	0.7400580	0.1876235	0.6997074	0.0397555	0.7982025
