YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.0000000	0.5799531	0.4298022	0.5018858	0.3002935	0.7651009	0.1400759	0.8450246	0.1110156	0.6916862
0.0127094	0.0000000	0.4362130	0.6206697	0.2957725	0.8057451	0.1615710	0.6166917	0.0841739	0.7661532
0.0070117	0.7658772	0.0000000	0.6198070	0.2601558	0.7788633	0.2470195	0.7386202	0.0881576	0.7197140
0.2748845	0.6737067	0.2068315	0.0000000	0.2838588	0.7274791	0.2316896	0.7063657	0.0654197	0.7543291
0.3066173	0.4699134	0.4957568	0.6934083	0.0000000	0.6966869	0.1255626	0.8500253	0.0712955	0.7445597
0.4373275	0.4961256	0.4122238	0.5192118	0.8858024	0.0000000	0.1757168	0.7302925	0.0627433	0.5643088
0.3758277	0.3286697	0.5134619	0.5476246	0.3106903	0.7353330	0.0000000	0.7919975	0.0696605	0.7004453
0.1170894	0.7662483	0.1084390	0.6539872	0.3875674	0.2908488	0.7504002	0.0000000	0.6076657	0.8325094
0.2327650	0.2321912	0.4806516	0.6527684	0.2421079	0.8286584	0.1352315	0.7981783	0.0000000	0.7650187
0.0368503	0.9551889	0.0626287	0.2150044	0.4449845	0.3048110	0.6996050	0.1038251	0.8267931	0.0000000
