YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.3925340	0.1868805	0.6788821	0.2382049	0.3786898	0.3175483	0.4409006	0.4813943	0.0654116	0.8644887
0.2676794	0.2036053	0.5365973	0.2203003	0.4991873	0.6156508	0.5385935	0.6710885	0.0967395	0.2959074
0.3064128	0.0756782	0.6060573	0.3594388	0.1576014	0.2823215	0.4353798	0.6488835	0.0573605	0.8407075
0.3340404	0.1837157	0.6705146	0.1253978	0.4140840	0.6156531	0.4607325	0.7395252	0.0162779	0.6758789
0.4389685	0.2551718	0.6964567	0.0190242	0.3580049	0.2357714	0.3215458	0.7527462	0.0851924	0.7110067
0.3105866	0.1350513	0.6950222	0.2705109	0.2541855	0.3522655	0.4381494	0.7920526	0.0494113	0.7366701
0.4095398	0.5321187	0.6156383	0.2107922	0.2298163	0.0904289	0.4445667	0.7711892	0.0164183	0.8078772
0.4199822	0.3096893	0.6623011	0.2076646	0.3858498	0.4336817	0.4270535	0.4233981	0.0946917	0.5764762
0.4966476	0.2763681	0.6938733	0.1303606	0.2847760	0.1183764	0.2561248	0.7984762	0.0107505	0.8036925
0.3597416	0.1586256	0.6696301	0.1846210	0.2134636	0.2162021	0.2309926	0.7173272	0.0313048	0.6262373
