YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.7655206	0.2605736	0.1108336	1.0176993	0.5363304	0.5748316	0.4461298	0.0068261	0.8283283	0.2386525
0.4225982	0.3573694	0.0767607	1.0410682	0.6374175	0.5403834	0.3010841	0.0119774	0.5303854	0.5345990
0.5627463	0.0234527	0.0159005	0.9742592	0.5953190	0.7790084	0.1744491	0.0262161	0.4242511	0.4352056
0.6886627	0.2080940	0.0915896	1.0050636	0.4472198	0.3932882	0.4050713	0.0023250	0.3524371	0.4877320
0.3244352	0.5602874	0.1727957	0.8271632	0.5181292	0.5682953	0.5432208	0.0402324	0.4399526	0.3766995
0.8031624	0.1250845	0.0983849	1.1679337	0.5323471	0.6684373	0.4339636	0.0262146	0.5725780	0.4692327
0.4856658	0.5703428	0.1418921	0.9704975	0.4364539	0.5577512	0.5631402	0.0014733	0.3226302	0.4824622
0.8112071	0.0000659	0.0042018	1.0861242	0.5322368	0.5138765	0.4726990	0.0207267	0.7216299	0.3007489
0.7141764	0.4495547	0.1286555	1.0195879	0.4620661	0.6552255	0.4496964	0.0293782	0.4446245	0.2988423
0.2401876	0.8579102	0.3401753	0.6724077	0.4676846	0.3464417	0.4295493	0.0491615	1.0672895	0.1003321
