"Time"	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W

0	0.1132175	0.0042825	0.8619031	0.4664957	0.7886279	0.9998987	0.0927233	0.3862753	0.6387368	0.4156477
50	0.1132178	0.0042823	0.8697776	0.3645573	0.7883233	0.9999086	0.0642642	0.3864895	0.6387615	0.4156212
100	0.1132107	0.0042347	0.9037739	0.2851078	0.7881013	0.9999415	0.0332696	0.3866093	0.6384885	0.4121392
150	0.1131548	0.0041097	0.9399541	0.2559005	0.7879482	0.9999694	0.0159211	0.3867587	0.6359359	0.4023604
200	0.1130267	0.0039620	0.9651408	0.2470759	0.7878105	0.9999855	0.0075595	0.3873140	0.6291634	0.3898606
250	0.1128584	0.0038408	0.9798163	0.2446785	0.7875489	0.9999935	0.0037428	0.3887856	0.6188184	0.3788358
300	0.1126961	0.0037587	0.9875890	0.2441527	0.7869515	0.9999972	0.0020352	0.3914300	0.6073625	0.3709266
350	0.1125667	0.0037091	0.9914647	0.2442457	0.7858384	0.9999988	0.0012705	0.3950476	0.5970853	0.3659368
400	0.1124755	0.0036813	0.9933108	0.2446713	0.7841709	0.9999995	0.0009196	0.3991163	0.5891340	0.3630512
450	0.1124166	0.0036665	0.9941464	0.2453634	0.7820784	0.9999998	0.0007495	0.4030664	0.5836179	0.3614859
500	0.1123809	0.0036590	0.9944891	0.2462619	0.7797972	0.9999999	0.0006598	0.4064869	0.5800978	0.3606805
550	0.1123603	0.0036555	0.9931890	0.3512429	0.7775760	1.0000000	0.0290616	0.4091907	0.5779970	0.3603110
600	0.1123497	0.0036602	0.9785912	0.4336779	0.7756046	0.9999995	0.0600194	0.4111738	0.5768889	0.3609399
650	0.1123526	0.0036954	0.9461327	0.4650843	0.7739856	0.9999943	0.0773436	0.4125117	0.5771614	0.3651256
700	0.1123866	0.0037816	0.9100862	0.4755682	0.7727545	0.9999796	0.0856888	0.4131709	0.5804632	0.3743794
750	0.1124712	0.0039117	0.8816516	0.4792256	0.7719437	0.9999587	0.0894929	0.4128632	0.5880735	0.3867508
800	0.1126094	0.0040568	0.8629475	0.4806803	0.7716478	0.9999388	0.0911891	0.4112242	0.5992039	0.3989893
850	0.1127824	0.0041877	0.8518608	0.4812078	0.7720098	0.9999235	0.0919426	0.4081832	0.6115599	0.4089413
900	0.1129610	0.0042889	0.8457748	0.4810721	0.7731203	0.9999133	0.0922838	0.4041065	0.6229247	0.4160136
950	0.1131200	0.0043582	0.8428167	0.4802999	0.7749257	0.9999072	0.0924479	0.3996167	0.6320561	0.4205533
1000	0.1132454	0.0044004	0.8418915	0.4789428	0.7772210	0.9999037	0.0925370	0.3953150	0.6386753	0.4231880

0	0.1132175	0.0042825	0.8619031	0.4664957	0.7886279	0.9998987	0.0927233	0.3862753	0.6387368	0.4156477
50	0.1132180	0.0042852	0.8612950	0.4700169	0.7617103	0.9998988	0.0927191	0.3864895	0.6387667	0.4158282
100	0.1132207	0.0042904	0.8576984	0.4875882	0.7283089	0.9998988	0.0927161	0.3866031	0.6388932	0.4161812
150	0.1132289	0.0043133	0.8447788	0.5117748	0.7073702	0.9998989	0.0927142	0.3866396	0.6392370	0.4177135
200	0.1132598	0.0043859	0.8211216	0.5319205	0.6964858	0.9998989	0.0927132	0.3865848	0.6404599	0.4223070
250	0.1133482	0.0045373	0.7920688	0.5449766	0.6913340	0.9998989	0.0927131	0.3863192	0.6437573	0.4310458
300	0.1135346	0.0047737	0.7644151	0.5522613	0.6890965	0.9998989	0.0927145	0.3855895	0.6500358	0.4431314
350	0.1138450	0.0050712	0.7422983	0.5558924	0.6883446	0.9998989	0.0927189	0.3841133	0.6591100	0.4564511
400	0.1142745	0.0053854	0.7267257	0.5574316	0.6884674	0.9998989	0.0927284	0.3817594	0.6697476	0.4688395
450	0.1147824	0.0056710	0.7168699	0.5577549	0.6892286	0.9998988	0.0927447	0.3786507	0.6803691	0.4789274
500	0.1153057	0.0058984	0.7113492	0.5572902	0.6905010	0.9998988	0.0927683	0.3751160	0.6897214	0.4862766
550	0.1157811	0.0060576	0.7091165	0.5526646	0.7189638	0.9998987	0.0927984	0.3715519	0.6971529	0.4910806
600	0.1161628	0.0061430	0.7135940	0.5325154	0.7543123	0.9998985	0.0928327	0.3682952	0.7025304	0.4935245
650	0.1164070	0.0061053	0.7317704	0.5062626	0.7772571	0.9998983	0.0928682	0.3655630	0.7058352	0.4923071
700	0.1164303	0.0058891	0.7613977	0.4850345	0.7900164	0.9998981	0.0929018	0.3634843	0.7065211	0.4853886
750	0.1161647	0.0055387	0.7935595	0.4712629	0.7967918	0.9998979	0.0929309	0.3621994	0.7036275	0.4731296
800	0.1156601	0.0051627	0.8212496	0.4632611	0.8003331	0.9998977	0.0929528	0.3619073	0.6967906	0.4584124
850	0.1150588	0.0048418	0.8418905	0.4588854	0.8020441	0.9998975	0.0929646	0.3627801	0.6868475	0.4443538
900	0.1144938	0.0046036	0.8558679	0.4566582	0.8025493	0.9998974	0.0929639	0.3648276	0.6754778	0.4328006
950	0.1140354	0.0044417	0.8646692	0.4557667	0.8021258	0.9998974	0.0929500	0.3678343	0.6644161	0.4242538
1000	0.1136979	0.0043383	0.8698059	0.4558008	0.8009560	0.9998974	0.0929246	0.3714115	0.6548738	0.4184119

0	0.1132175	0.0042825	0.8619031	0.4664957	0.7886279	0.9998987	0.0927233	0.3862753	0.6387368	0.4156477
50	0.1132180	0.0042852	0.8614209	0.4668299	0.7883233	0.9998988	0.0927191	0.3864895	0.6387666	0.4158266
100	0.1132205	0.0042883	0.8609483	0.4671038	0.7881015	0.9998988	0.0927161	0.3866032	0.6388845	0.4160319
150	0.1132243	0.0042915	0.8605179	0.4673119	0.7879538	0.9998989	0.0927142	0.3866437	0.6390551	0.4162445
200	0.1132286	0.0042946	0.8601519	0.4674575	0.7878669	0.9998989	0.0927131	0.3866335	0.6392521	0.4164479
250	0.1132331	0.0042974	0.8598605	0.4675494	0.7878269	0.9998989	0.0927127	0.3865905	0.6394550	0.4166299
300	0.1132374	0.0042997	0.8596443	0.4675985	0.7878209	0.9998989	0.0927127	0.3865281	0.6396479	0.4167825
350	0.1132412	0.0043016	0.8594964	0.4676153	0.7878380	0.9998989	0.0927130	0.3864570	0.6398195	0.4169028
400	0.1132444	0.0043030	0.8594064	0.4676094	0.7878694	0.9998989	0.0927134	0.3863850	0.6399633	0.4169912
450	0.1132469	0.0043039	0.8593622	0.4675887	0.7879081	0.9998989	0.0927140	0.3863177	0.6400767	0.4170509
500	0.1132488	0.0043045	0.8593523	0.4675595	0.7879491	0.9998989	0.0927146	0.3862586	0.6401603	0.4170866
550	0.1132500	0.0043048	0.8593662	0.4675267	0.7879884	0.9998989	0.0927151	0.3862098	0.6402172	0.4171033
600	0.1132508	0.0043048	0.8593951	0.4674940	0.7880237	0.9998989	0.0927156	0.3861717	0.6402515	0.4171059
650	0.1132511	0.0043047	0.8594320	0.4674637	0.7880536	0.9998989	0.0927160	0.3861439	0.6402678	0.4170987
700	0.1132512	0.0043045	0.8594716	0.4674375	0.7880774	0.9998989	0.0927163	0.3861252	0.6402708	0.4170855
750	0.1132510	0.0043043	0.8595098	0.4674159	0.7880953	0.9998989	0.0927165	0.3861141	0.6402644	0.4170693
800	0.1132508	0.0043040	0.8595444	0.4673993	0.7881078	0.9998989	0.0927167	0.3861091	0.6402523	0.4170521
850	0.1132504	0.0043038	0.8595737	0.4673872	0.7881156	0.9998989	0.0927168	0.3861086	0.6402372	0.4170358
900	0.1132500	0.0043035	0.8595973	0.4673792	0.7881197	0.9998989	0.0927169	0.3861111	0.6402212	0.4170211
950	0.1132497	0.0043033	0.8596151	0.4673746	0.7881210	0.9998989	0.0927169	0.3861156	0.6402058	0.4170088
1000	0.1132494	0.0043032	0.8596276	0.4673726	0.7881202	0.9998989	0.0927169	0.3861209	0.6401920	0.4169990

0	0.1132175	0.0042825	0.8619031	0.4664957	0.7886279	0.9998987	0.0927233	0.3862753	0.6387368	0.4156477
50	0.4175514	0.0042815	0.8716058	0.3389003	0.6800987	0.9998988	0.0927924	0.3144983	0.6387601	0.4155697
100	0.6926315	0.0042261	0.9089764	0.2650230	0.5538989	0.9998982	0.0939465	0.2135834	0.6384072	0.4114797
150	0.8247953	0.0040919	0.9449106	0.2667988	0.4875599	0.9998913	0.1029395	0.1413179	0.6354670	0.4008570
200	0.8819167	0.0039432	0.9674161	0.2847853	0.4636872	0.9997982	0.1519257	0.0984192	0.6280818	0.3881452
250	0.9059435	0.0038284	0.9784503	0.2970047	0.4592682	0.9964903	0.2905132	0.0752710	0.6173302	0.3776827
300	0.9159716	0.0037565	0.9827222	0.3020798	0.4612518	0.9266323	0.4842568	0.0636194	0.6060155	0.3708347
350	0.9201467	0.0037177	0.9839437	0.3031543	0.4642307	0.6871955	0.6525436	0.0581600	0.5964709	0.3670539
400	0.9218833	0.0036992	0.9841510	0.3027033	0.4665606	0.4251116	0.7651865	0.0558396	0.5896441	0.3652445
450	0.9226053	0.0036913	0.9841700	0.3019498	0.4680382	0.2445986	0.8304397	0.0550058	0.5853576	0.3644782
500	0.9229055	0.0036881	0.9842244	0.3013296	0.4688681	0.1422999	0.8648643	0.0548114	0.5829347	0.3641779
550	0.6184096	0.0036879	0.9757997	0.5017995	0.6032665	0.0900455	0.8105250	0.1313464	0.5816757	0.3641853
600	0.3431262	0.0037301	0.9030825	0.5735329	0.7544310	0.0803491	0.5365514	0.2388958	0.5815097	0.3689119
650	0.2109132	0.0039528	0.8172993	0.5198606	0.8228913	0.2172138	0.3162970	0.3158458	0.5860080	0.3888156
700	0.1539616	0.0043491	0.7939468	0.4658123	0.8344591	0.5066910	0.1969597	0.3606358	0.6005968	0.4167275
750	0.1303045	0.0046252	0.8161100	0.4424098	0.8231616	0.7412350	0.1397169	0.3823440	0.6220983	0.4341206
800	0.1206283	0.0046384	0.8468136	0.4408923	0.8083415	0.8764610	0.1135625	0.3896378	0.6407092	0.4356369
850	0.1165984	0.0045044	0.8678864	0.4482475	0.7974081	0.9441097	0.1018759	0.3895288	0.6501682	0.4281307
900	0.1148078	0.0043590	0.8766013	0.4563881	0.7914768	0.9755396	0.0967182	0.3870271	0.6507818	0.4194222
950	0.1139425	0.0042622	0.8766963	0.4621094	0.7891926	0.9895088	0.0944633	0.3849416	0.6464457	0.4135022
1000	0.1135031	0.0042198	0.8728894	0.4651169	0.7887774	0.9955401	0.0934849	0.3842235	0.6411601	0.4110134

0	0.1132175	0.0042825	0.8619031	0.4664957	0.7886279	0.9998987	0.0927233	0.3862753	0.6387368	0.4156477
50	0.1146449	0.0031200	0.8614237	0.4666957	0.7908256	0.9998988	0.0927725	0.3301167	0.6387666	0.4158265
100	0.1152808	0.0019386	0.8612306	0.4637143	0.8079932	0.9998984	0.0934126	0.2511186	0.6388842	0.4160234
150	0.1151067	0.0013434	0.8633545	0.4517254	0.8393166	0.9998955	0.0963172	0.1945236	0.6390393	0.4160650
200	0.1148321	0.0010843	0.8712080	0.4311254	0.8732313	0.9998812	0.1048549	0.1608525	0.6390733	0.4152755
250	0.1146441	0.0009595	0.8856363	0.4079434	0.9014537	0.9998252	0.1216452	0.1425292	0.6385212	0.4126265
300	0.1145357	0.0008743	0.9036983	0.3876011	0.9215501	0.9996325	0.1445379	0.1331051	0.6366517	0.4076633
350	0.1144732	0.0007988	0.9214157	0.3723569	0.9344726	0.9990820	0.1678342	0.1285284	0.6329078	0.4010087
400	0.1144340	0.0007310	0.9362023	0.3620835	0.9421874	0.9978876	0.1868339	0.1265544	0.6273340	0.3938859
450	0.1144072	0.0006747	0.9472565	0.3556722	0.9465008	0.9959731	0.1997785	0.1260062	0.6205840	0.3873813
500	0.1143880	0.0006317	0.9549026	0.3519174	0.9487234	0.9936620	0.2070736	0.1262569	0.6135774	0.3820863
550	0.1127926	0.0017169	0.9598924	0.3499522	0.9474141	0.9916431	0.1977632	0.1849038	0.6071217	0.3781282
600	0.1116508	0.0028282	0.9629278	0.3512356	0.9310573	0.9919512	0.1593098	0.2675621	0.6017089	0.3753586
650	0.1115404	0.0033833	0.9640747	0.3601523	0.8996145	0.9943797	0.1274680	0.3275756	0.5975061	0.3735560
700	0.1118085	0.0036153	0.9624293	0.3777351	0.8642935	0.9967323	0.1094017	0.3640794	0.5944792	0.3726352
750	0.1120839	0.0037101	0.9566759	0.4002187	0.8338673	0.9982636	0.1004026	0.3846222	0.5925827	0.3727722
800	0.1122739	0.0037595	0.9460543	0.4225508	0.8114183	0.9991049	0.0961549	0.3957160	0.5919163	0.3743302
