YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0385391	0.0220246	0.3829059	0.6183755	0.7939319	0.0867600	0.0594761	0.2037245	0.3024925	0.0064876
0.0686227	0.0306766	0.5775363	0.7142401	0.7771753	0.0772129	0.0526783	0.2992630	0.4799320	0.0134699
0.1186472	0.0203052	0.2527087	0.7609169	0.8890985	0.0561340	0.0694056	0.2041852	0.3313040	0.0100465
0.1247497	0.0388663	0.6925303	0.3812373	0.8256336	0.0870742	0.0932710	0.2073323	0.4504085	0.0038189
0.1135745	0.0376651	0.7366567	0.3958693	0.3566333	0.0753161	0.0752146	0.2094006	0.3683909	0.0056576
0.0863095	0.0305766	0.5556870	0.6348466	0.8053566	0.0648878	0.0758382	0.2259824	0.3749144	0.0178183
0.0473528	0.0470555	0.4295335	0.5671739	0.8144436	0.0230909	0.0221533	0.1528272	0.4393625	0.0101556
0.2399421	0.4509531	0.7567717	0.0226222	0.0918228	0.6894333	0.5068219	0.0987924	0.2972896	0.3043387
0.3132867	0.4244234	0.7591397	0.0168417	0.0531869	0.7584473	0.6696589	0.0604041	0.1389056	0.5529681
0.0462800	0.0239221	0.5611859	0.7102043	0.7502431	0.0961552	0.0783018	0.2135828	0.5799183	0.0143665
