"Time"	YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W

0	0.9992402	1.0000000	1.0000000	0.2262823	0.0641399	0.9998965	0.7190973	0.5221132	0.5007884	0.6793774
50	0.9992402	1.0000000	1.0000000	0.2359483	0.0816489	0.9998583	0.2228169	0.5412490	0.3084755	0.5620497
100	0.9992402	1.0000000	1.0000000	0.2564479	0.1277502	0.9996436	0.1569768	0.5827303	0.3218068	0.5513950
150	0.9992402	1.0000000	1.0000000	0.2685927	0.1492085	0.9995172	0.1414675	0.6045994	0.3430130	0.5557775
200	0.9992402	1.0000000	1.0000000	0.2719410	0.1481177	0.9995254	0.1345030	0.6087308	0.3496840	0.5597770
250	0.9992402	1.0000000	1.0000000	0.2717925	0.1436590	0.9995551	0.1316309	0.6075679	0.3496274	0.5616371
300	0.9992402	1.0000000	1.0000000	0.2710978	0.1416247	0.9995694	0.1308228	0.6065279	0.3483307	0.5622032
350	0.9992402	1.0000000	1.0000000	0.2706620	0.1414465	0.9995714	0.1307075	0.6063544	0.3474627	0.5622621
400	0.9992402	1.0000000	1.0000000	0.2704918	0.1418518	0.9995691	0.1306981	0.6065797	0.3471066	0.5622015
450	0.9992402	1.0000000	1.0000000	0.2704542	0.1422156	0.9995668	0.1306608	0.6068307	0.3470203	0.5621498
500	0.9992402	1.0000000	1.0000000	0.2704590	0.1424081	0.9995655	0.1306085	0.6069877	0.3470253	0.5621255
550	0.9992402	1.0000000	1.0000000	0.2558702	0.1069658	0.9996894	0.5632573	0.5794877	0.5772388	0.6819931
600	0.9992402	1.0000000	1.0000000	0.2356157	0.0700479	0.9998525	0.6422416	0.5356466	0.5393032	0.6929666
650	0.9992402	1.0000000	1.0000000	0.2270330	0.0602486	0.9999011	0.6854509	0.5185254	0.5039030	0.6879692
700	0.9992402	1.0000000	1.0000000	0.2250507	0.0615370	0.9999033	0.7099684	0.5182495	0.4939303	0.6827339
750	0.9992402	1.0000000	1.0000000	0.2252788	0.0640416	0.9998966	0.7185290	0.5214591	0.4950861	0.6800327
800	0.9992402	1.0000000	1.0000000	0.2258227	0.0650328	0.9998934	0.7193816	0.5231906	0.4980904	0.6791862
850	0.9992402	1.0000000	1.0000000	0.2261575	0.0649552	0.9998936	0.7185209	0.5233631	0.5000053	0.6791222
900	0.9992402	1.0000000	1.0000000	0.2262843	0.0645994	0.9998949	0.7181076	0.5229388	0.5007620	0.6792376
