"Time"	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C

0	0.4044684	0.1943853	0.8487493	0.3419321	0.4397986	0.8985757	0.7565898	0.9873274	0.0820443	1.0064926
50	0.5366983	0.2214678	0.6187093	0.1943754	0.6151032	0.7888890	0.4151907	0.9198567	0.0862938	1.0597653
100	0.6195063	0.3826878	0.3575485	0.1060096	0.5599162	0.5758343	0.4102756	0.9158863	0.0679020	1.0558904
150	0.7002573	0.2823359	0.3292440	0.0873427	0.5124389	0.3675667	0.3226230	0.9903897	0.0577071	0.9170812
200	0.6854801	0.2062959	0.2515211	0.0850543	0.3686763	0.2822084	0.2764189	0.9805253	0.0680538	0.8374539
250	0.6334857	0.1569588	0.1948410	0.1392995	0.2927412	0.2036200	0.2987819	0.9453561	0.0654078	0.8948794
300	0.6344392	0.0988686	0.2189914	0.1964446	0.2393422	0.1497989	0.3663014	0.9505682	0.0533273	0.9644951
350	0.5094009	0.0561913	0.1663837	0.2878717	0.2164081	0.1652547	0.4795770	0.9527407	0.0704067	1.0642667
400	0.5053861	0.0667026	0.1571709	0.3788084	0.1262640	0.1955847	0.4575458	0.9213127	0.0439087	0.9903612
450	0.5281397	0.0891606	0.2122371	0.3779123	0.0922581	0.2634135	0.5683903	0.9873657	0.0744905	0.9318103
500	0.4565257	0.0540697	0.1471043	0.4005917	0.1144376	0.3612370	0.6703719	1.0821763	0.0652262	0.9523771
550	0.2776516	0.0478100	0.4550361	0.5200589	0.1642862	0.5148325	0.7796816	1.1140238	0.1067761	0.9613761
600	0.2093163	0.0483408	0.7039985	0.6551446	0.1973641	0.7012257	0.7879343	1.0324064	0.0720349	0.9715146
650	0.1448720	0.0518996	0.7205176	0.7629465	0.2611830	0.7545933	0.8077600	0.9976913	0.0808915	1.0242741
700	0.1917863	0.0757731	0.6510797	0.6668809	0.3461658	0.8752730	0.8635201	0.9578446	0.0713555	0.9617081
750	0.2793549	0.0814410	0.6587073	0.6139296	0.4274900	0.8912615	0.9009318	1.0520339	0.0861684	0.9849026
800	0.3612005	0.1702769	0.7203117	0.5017685	0.5766261	0.8830204	0.8125603	1.0633723	0.0798695	0.9884308
850	0.4992525	0.2336493	0.8021912	0.3174722	0.4675687	0.9721341	0.7256029	1.0253296	0.0608227	0.9789524
900	0.4941584	0.2450038	0.8989019	0.3114588	0.4711088	0.9339510	0.7161525	0.9208068	0.0924493	0.9540054
950	0.5186861	0.2133082	0.8999407	0.2634311	0.5014234	0.8239452	0.6764431	0.9063498	0.0861346	1.0299055
1000	0.5436631	0.2340590	0.9589699	0.2935849	0.4506339	0.8543548	0.6479121	1.0324408	0.0886610	1.0152760

0	0.4044684	0.1943853	0.8487493	0.3419321	0.4397986	0.8985757	0.7565898	0.9873274	0.0820443	1.0064926
50	0.7614868	0.1929805	0.8705727	0.3274411	0.4503051	0.7581759	0.6344254	0.9483012	0.0683461	1.0715335
100	0.8836846	0.2535608	0.8053046	0.3318161	0.4479457	0.6464200	0.6266516	0.9706878	0.0818664	0.9567223
150	0.9436823	0.2524045	0.8021084	0.3854258	0.4498206	0.6796118	0.4883837	1.0517846	0.0752796	1.0284478
200	1.0211574	0.1651876	0.8068055	0.3233938	0.3794947	0.5771942	0.5250409	0.9164643	0.0891220	1.0647867
250	1.0361532	0.1597386	0.8927294	0.3287147	0.3815128	0.6180950	0.5359080	0.9080960	0.1026123	1.0065408
300	1.0527542	0.1094012	0.9778351	0.3289985	0.3581321	0.6277315	0.6968427	0.9914069	0.0949026	0.9343386
350	1.0378630	0.1285290	1.0090132	0.4377442	0.3416735	0.7038923	0.6872460	0.9935557	0.0733882	1.0140691
400	1.0002378	0.0925894	0.9367145	0.4322273	0.3739109	0.6672750	0.7347423	0.9833645	0.0581195	1.0450212
450	0.9295877	0.1236334	0.8394780	0.4521182	0.3850589	0.7971970	0.7910192	1.0330305	0.0615073	1.1151243
500	0.9144949	0.1187343	0.9076895	0.4391919	0.4332613	0.8669916	0.7884296	1.0373947	0.0454636	1.0966554
550	0.7941303	0.1502022	0.8694007	0.3758979	0.4261257	0.8702145	0.6986657	0.9987241	0.0579741	0.9935032
600	0.6748248	0.1595215	0.7701946	0.4058434	0.5165531	0.8052975	0.6864526	1.0689236	0.0747545	1.0076882
650	0.5540128	0.2841427	0.8837672	0.3427988	0.5746542	0.8108788	0.6687824	1.0346084	0.0762682	1.0118028
700	0.5864999	0.3038799	1.0484756	0.2764371	0.5553642	0.8085252	0.6139558	0.9396584	0.0753053	1.0760767
750	0.4776236	0.3126273	0.9333096	0.2393054	0.5211938	0.6850721	0.5103389	1.0202706	0.0891883	1.0585358
800	0.4746353	0.2813510	0.9297439	0.1582892	0.4922929	0.6199765	0.4510690	1.0374853	0.0700903	1.0344560
850	0.5166835	0.2632927	0.9689416	0.2089868	0.5089032	0.5693209	0.4326456	0.9596819	0.1153654	0.9936330
900	0.4914293	0.2907089	1.0257112	0.2223917	0.5062594	0.4267112	0.4763883	0.9853563	0.0933467	0.9594463
