YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0000000	0.5782785	0.7214572	0.7429765	0.6651729	0.8049949	0.0467646	0.6408661	0.8364844	0.6228264
0.4201036	0.0000000	0.0311717	0.7107077	0.6918748	0.8357823	0.0517782	0.7803291	0.7051058	0.6440430
0.3938705	0.0636812	0.0000000	0.6175186	0.6985621	0.6949481	0.0342496	0.7939244	0.6540682	0.6950569
0.2906132	0.1495095	0.0591928	0.0006909	0.7443706	0.5074002	0.0656295	0.8005287	0.8048188	0.6621492
0.3352120	0.0919188	0.0366534	0.0033151	0.0000000	0.7446827	0.0394296	0.7845540	0.6773176	0.8207111
0.5312101	0.5463527	0.7102620	0.8996649	0.8074423	0.0000000	0.0369148	0.6504450	0.7199781	0.6596678
0.0759341	0.5078798	0.7014506	0.6855554	0.6483421	0.6429911	0.0000000	0.7421049	0.7508629	0.6790616
0.0998047	0.5959908	0.7097458	0.6873962	0.7963835	0.7094293	0.7374627	0.0000000	0.7201518	0.7406932
0.0734925	0.5663246	0.6126097	0.6273141	0.6968367	0.7875149	0.0354992	0.5978636	0.0000000	0.7835383
0.1236279	0.5196570	0.7057382	0.6936308	0.6108514	0.8768843	0.0252008	0.7434137	0.6436498	0.0000000
