YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.0667181	0.7142677	0.4751897	0.2815385	0.5651326	0.8215173	0.1651014	0.3911191	0.8400035	0.7364364
0.3278271	0.3772346	0.3649534	0.2993636	0.6138681	0.9513430	0.3089999	0.1885166	0.7509051	0.6509797
0.1935898	0.8541438	0.3340217	0.4599831	0.6468048	0.5887313	0.1788338	0.2663670	0.8220727	0.6821049
0.1461002	0.7533492	0.1723173	0.1724744	0.5521071	0.7546550	0.1393729	0.3194478	0.7342602	0.8044418
0.1671099	0.7505898	0.8084225	0.6431905	0.2227032	0.8374262	0.2197650	0.3030505	0.7831239	0.7746795
0.2549164	0.8824753	0.7111154	0.7344273	0.0970831	0.3924752	0.2147403	0.2874085	0.7982199	0.7605235
0.1397262	0.8239779	0.5275004	0.2857086	0.4848370	0.6682493	0.1008128	0.3141265	0.7336802	0.6945428
0.1374529	0.5475523	0.5964946	0.2755766	0.5875721	0.7787943	0.3247669	0.1655206	0.8122495	0.7717201
0.1965133	0.6801126	0.4335858	0.2964364	0.5901002	0.6993560	0.1235046	0.3916201	0.2958843	0.7177180
0.1463329	0.6312533	0.3806730	0.3323426	0.5242515	0.8776479	0.2376151	0.3299525	0.9221529	0.4200063
