YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.4587827	0.3367862	0.3300915	0.7798505	0.0851665	0.4913411	0.7383249	0.2995043	0.7823771	0.1375319
0.8954905	0.1190298	0.3695173	0.5921126	0.0898500	0.5978236	0.7811860	0.3734379	0.6137968	0.2403605
0.7729649	0.6118479	0.1647444	0.8070970	0.1291229	0.6277998	0.7505788	0.3927655	0.7824087	0.1969141
0.7135659	0.2417691	0.3979043	0.4200231	0.0579703	0.5176872	0.7759052	0.4342680	0.7295423	0.1579726
0.7076733	0.3629743	0.3034324	0.6746267	0.1319900	0.5015899	0.7115646	0.4240920	0.6096616	0.2003157
0.6990553	0.2067382	0.4694890	0.7969986	0.1652773	0.2963499	0.6530497	0.3536437	0.7431359	0.2426249
0.8174411	0.2868446	0.4505760	0.8019862	0.1791476	0.1807763	0.3319316	0.3963702	0.7560682	0.2461312
0.5995077	0.2642426	0.4127335	0.7842835	0.0725656	0.5312304	0.6667750	0.1714265	0.6226017	0.1620295
0.7722032	0.3476668	0.3687882	0.8180827	0.1032635	0.5259871	0.6518499	0.4330071	0.3984713	0.1339536
0.8434408	0.2334994	0.3953504	0.6800922	0.0665469	0.5084804	0.8521320	0.4644290	0.6888199	0.1154388
