YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.8111952	0.4525929	0.8396906	0.0086734	0.6099375	0.7704959	0.8409337	0.3480627	0.4209603	0.3445201
0.6476155	0.6499554	0.7879361	0.1145081	0.7064180	0.7515604	0.9075309	0.5843101	0.2792233	0.4309842
0.5492876	0.5900653	0.8745152	0.1014089	0.8287779	0.7863198	0.4864981	0.1629540	0.6727699	0.4364329
0.8405099	0.5960164	0.9382908	0.0249567	0.8678675	0.8391966	0.8355692	0.4168619	0.2515966	0.4636059
0.8656494	0.4345125	0.9122231	0.0983583	0.7937136	0.6589229	1.0463556	0.7837178	0.1747932	0.2619671
0.4698401	0.4763200	0.7150817	0.0639038	0.7104582	0.7258396	0.8329671	0.7193018	0.4317589	0.6758310
0.8460740	0.5309799	0.8590416	0.1006673	0.7009409	0.7265181	0.8694503	0.6828441	0.3472492	0.4046993
0.9661759	0.5488326	0.8100718	0.0495653	0.8318010	0.8291288	0.8002860	0.4945120	0.1963772	0.3379915
0.6689884	0.6089417	0.9549868	0.1041241	0.8561832	0.8515185	0.9132955	0.5807195	0.4566823	0.4890675
0.8559238	0.4518546	0.9791407	0.0293142	0.8364358	0.7363236	0.6989365	0.4113471	0.2665275	0.3576722
