"Time"	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
400	0.2824072	0.0751230	0.0163900	0.5733167	0.0412109	0.8697655	0.5552765	0.3153612	0.6887884	0.7322620
450	0.3020086	0.0658783	0.0186003	0.4509175	0.0443876	0.7485596	0.5495519	0.3490187	0.6342617	0.8425414
500	0.1998494	0.0307689	0.0225227	0.6394102	0.1098927	0.6489496	0.5285473	0.2494253	0.8569694	0.8520381
550	0.0956438	0.0482354	0.1023334	0.2609932	0.1497847	0.7369287	0.6875215	0.3613687	0.6481556	0.6946352
600	0.0464000	0.0450807	0.1876615	0.1100614	0.1216109	0.7389456	0.7107445	0.3621396	0.5084402	0.6697054
650	0.0398228	0.0513041	0.2703157	0.1286511	0.1120031	0.6904906	0.5905454	0.3749421	0.5841500	0.7680673
700	0.0491408	0.0832099	0.4645626	0.0977385	0.1210564	0.8023104	0.6742078	0.2847492	0.6192290	0.7077536
750	0.0701320	0.2695748	0.4777617	0.1113034	0.1267299	0.9598113	0.6821718	0.3020722	0.8039279	0.8126029
800	0.3404599	0.5368394	0.4786519	0.1527989	0.0897012	0.6395642	0.7515761	0.2932900	0.6525049	0.7408395
850	0.4863298	0.5623403	0.6454778	0.0939742	0.0729224	0.6339847	0.8142542	0.3379390	0.5155484	0.7541560
900	0.5737979	0.7181410	0.6069924	0.1142605	0.0617459	0.6347116	0.6157935	0.3580359	0.5104531	0.9196032
950	0.8202105	0.6965495	0.6279057	0.0893522	0.0729059	0.7616882	0.8427758	0.4800934	0.4898225	0.7115625
1000	0.6902009	0.7436864	0.6308361	0.0827183	0.1120024	0.7270681	0.7751125	0.3617185	0.3729146	0.7117106

0	0.6818856	0.8300019	0.5934800	0.0953564	0.1141660	0.7619392	0.6496167	0.5370581	0.4456076	0.7510883
50	0.6582665	0.7926480	0.2916457	0.1410540	0.0889280	0.8687051	0.6802034	0.5513238	0.4858007	0.8239885
100	0.7169766	0.5385411	0.0831939	0.0699328	0.1292320	0.7479853	0.7092649	0.5196988	0.4182729	0.7405736
150	0.6540462	0.2537748	0.1090232	0.0823166	0.0336358	0.7401099	0.6462127	0.4389877	0.6417868	0.7617248
200	0.6356478	0.1051580	0.0594287	0.0820142	0.0439104	0.6960457	0.6372000	0.4341797	0.5162402	0.7252581
250	0.4779974	0.0639760	0.0992785	0.0771276	0.0573944	0.7221908	0.8198457	0.2678108	0.5621984	0.8560973
300	0.3183908	0.0362642	0.0820672	0.0725535	0.0496689	0.8028516	0.7326797	0.3322551	0.6137138	0.7865019
350	0.1914641	0.0377247	0.0770664	0.0625429	0.0525437	0.6536439	0.7923650	0.3614964	0.4898597	0.7101807
400	0.1262410	0.0228980	0.0905981	0.0990625	0.0689946	0.8542473	0.7457969	0.2613047	0.7050861	0.7890174
450	0.0598656	0.0410176	0.0533352	0.0880599	0.0407423	0.9429595	0.8386508	0.3816711	0.6272881	0.7120116
500	0.0406571	0.0598638	0.0362788	0.0579031	0.0843692	0.7706802	0.6094715	0.3255640	0.5585983	0.7542271
550	0.0705516	0.0836243	0.4002854	0.1370882	0.1062003	0.8025752	0.7271957	0.2849035	0.5779468	0.8659614
600	0.1332627	0.3939803	0.6656998	0.0835952	0.1292408	0.8522088	0.8325747	0.2855651	0.7554356	0.8468985
650	0.4295580	0.5576443	0.6617988	0.0934069	0.0928889	0.8832832	0.7481288	0.3328793	0.6801238	0.6378053
700	0.6821641	0.7237222	0.6111038	0.1048489	0.1156673	0.8079959	0.6399573	0.2930705	0.5525906	0.8333009
750	0.5949271	0.7843754	0.7170323	0.1180210	0.1830416	0.7040891	0.8294933	0.3479006	0.4905833	0.7908631
800	0.6231400	0.7196952	0.6113245	0.0920621	0.1504009	0.6753408	0.7121031	0.4327294	0.4309453	0.7220257
850	0.9305395	0.7115373	0.5615095	0.1445066	0.1008352	0.7751198	0.6407169	0.4699124	0.4810314	0.6338795
900	0.7831773	0.6302927	0.4224448	0.1031337	0.1499108	0.9236412	0.8024580	0.4056260	0.3366468	0.7471629
950	0.8820133	0.7131845	0.4789681	0.1486776	0.0985111	0.8292720	0.7795893	0.4362091	0.4084265	0.8550721
1000	0.8172927	0.5864613	0.5250282	0.1336766	0.0756813	0.6934591	0.7554890	0.5567372	0.3523860	0.7185097

0	0.7626166	0.7786428	0.7284467	0.0562144	0.1292013	0.7920087	0.8186133	0.5272876	0.3593200	0.7230541
50	0.8575498	0.7323750	0.3819055	0.1043848	0.0399944	0.8472514	0.7406463	0.5808620	0.3212266	0.8957306
100	0.8203512	0.7218480	0.3205573	0.1248635	0.0209917	0.6348721	0.7407058	0.4481134	0.3476371	0.6620171
150	0.7240897	0.4669787	0.3316318	0.0633397	0.0450627	0.7494335	0.7113823	0.4957212	0.3433162	0.6314202
200	0.7550402	0.3773461	0.3092423	0.0896465	0.0466960	0.8588720	0.6624819	0.5303268	0.5093217	0.7788812
250	0.6464462	0.3054405	0.3539811	0.0608702	0.0630238	0.7851789	0.6625997	0.3656522	0.5701651	0.6561482
300	0.7886494	0.2843460	0.2866982	0.0532820	0.0404401	0.8085241	0.6939361	0.3406670	0.6070058	0.7794607
350	0.6213938	0.3275134	0.2910811	0.0615535	0.0825902	0.7522033	0.7442590	0.3183786	0.5585887	0.8198780
400	0.6465051	0.2802505	0.3194420	0.0466750	0.0386820	0.7289501	0.7619589	0.2990915	0.5721759	0.7842195
450	0.6975426	0.2661894	0.2115430	0.0737115	0.0335640	0.8092614	0.6990548	0.4044914	0.6458426	0.7444006
500	0.6285272	0.2674245	0.2659092	0.0596499	0.0806131	0.8316897	0.8088224	0.4761773	0.6547108	0.7490996
