YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.0000000	0.8811944	0.5290681	1.0031742	0.5959473	0.1715466	0.1743337	0.1669679	1.0633730	0.8971226
0.9566506	0.0000000	0.5369836	1.0957332	0.6496765	0.1201983	0.1271091	0.1860026	0.9913278	1.0122095
0.4801857	0.9835569	0.0000000	1.0276596	0.4305390	0.5569659	0.0154157	0.0062381	1.0183017	1.0630800
0.9489117	0.3933413	0.9180202	0.0000000	0.2482271	0.8607267	0.3656280	0.2636573	0.9103357	0.9513447
0.5956100	0.9087546	0.5106731	0.9179547	0.0000000	0.9906325	0.1456433	0.1800006	1.0781707	1.1531649
0.6544179	0.8762310	0.6099798	1.0277799	0.4950987	0.0000000	0.1262763	0.1692542	0.9709062	0.9695479
0.5278172	0.9235512	0.5585534	1.0176235	0.7338842	1.0745265	0.0000000	0.1720587	1.0276467	0.9857048
0.5579934	0.9453442	0.4861833	1.0107156	0.4807488	0.5759562	0.0372950	0.0000000	0.9790444	0.9352978
0.5619323	0.8571587	0.4831855	1.0020174	0.4326621	0.5677889	0.7973451	0.6870314	0.0000000	1.1181796
0.5532510	1.0763429	0.5037858	1.0241594	0.4139247	0.4377676	0.1820185	0.1242705	0.9558085	0.0000000
