"Time"	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
900	0.6281635	0.0696455	0.0038323	0.8270832	0.5562146	0.3020815	0.6926623	0.7059627	0.5976904	0.6792647
950	0.7102393	0.0435616	0.0132518	0.7261138	0.7173905	0.2443476	0.6288493	0.9324543	0.7190104	0.9124215
1000	0.8302874	0.0349756	0.0087487	0.7462955	0.5975080	0.3444618	0.5680784	0.8990988	0.7820885	0.8044688

0	0.5825354	0.0333619	0.0011743	0.8421774	0.7296020	0.2214162	0.6912984	0.7313773	0.8166801	0.7429046
50	0.5232201	0.2304872	0.0123903	0.8131354	0.6137582	0.2856011	0.8550577	0.7970148	0.7366135	0.6011135
100	0.4058854	0.5355971	0.0161371	0.7735608	0.6384375	0.2741118	0.7493546	0.4034464	0.6465702	0.5939954
150	0.3208393	0.6797223	0.0055510	0.7625950	0.7292898	0.2492145	0.6466338	0.4164729	0.6899598	0.4426486
200	0.2087834	0.6997534	0.0262664	0.7847039	0.5097442	0.2146332	0.7084443	0.4135725	0.5843615	0.4248699
250	0.1797598	0.7020059	0.0091856	0.8590426	0.6171682	0.1869999	0.8136849	0.3942791	0.6875745	0.4094704
300	0.1250004	0.7433819	0.0163586	0.7941549	0.4536026	0.1710265	0.6783077	0.5256879	0.6300127	0.3123791
350	0.0743419	0.6204551	0.0005808	0.7237861	0.5819737	0.2237341	0.7341049	0.5349020	0.6458692	0.3405264
400	0.1805546	0.8782385	0.0004931	0.7887496	0.4233411	0.1418648	0.7892859	0.4435777	0.8581982	0.3762258
450	0.1355341	0.7822288	0.0027591	0.8008978	0.6570468	0.2027217	0.8262154	0.4262212	0.8339115	0.4101082
500	0.1065443	0.7826904	0.0034414	0.7117275	0.5937007	0.1801567	0.8036063	0.4675358	0.6832955	0.3578007
550	0.1399555	0.4720306	0.0026061	0.7144752	0.5043306	0.2409861	0.6466218	0.5786989	0.7283697	0.5843554
600	0.1474358	0.2159607	0.0040532	0.8124967	0.5063253	0.2117034	0.6072858	0.7860981	0.6546851	0.5875883
650	0.2085411	0.1497792	0.0033196	0.7606352	0.6374867	0.2306822	0.7081612	0.7036244	0.7221725	0.6450554
700	0.4070668	0.0853508	0.0045308	0.8128332	0.5488283	0.2274271	0.6930883	0.8617117	0.6377558	0.6235040
750	0.4600036	0.0848430	0.0094777	0.7387157	0.6205226	0.2723593	0.6526138	0.8091483	0.6934904	0.6289019
800	0.5327147	0.0721235	0.0020842	0.8022432	0.6188065	0.2085189	0.7656647	0.8075759	0.7154101	0.7457940
850	0.6530689	0.0697529	0.0031153	0.4966795	0.7046186	0.2561646	0.8307702	0.7373811	0.7903612	0.8122729
900	0.6772660	0.0979387	0.0000280	0.6784842	0.6871049	0.2576538	0.6762288	0.7455987	0.8114335	0.6917406
950	0.6140276	0.0704970	0.0020669	0.6574322	0.7407646	0.3073272	0.6671895	0.7925242	0.8273891	0.6701843
1000	0.6561088	0.0536059	0.0044671	0.6792457	0.6138580	0.4028315	0.6156385	0.7655518	0.6256978	0.6833979

0	0.6015696	0.0430074	0.0048417	0.6773890	0.8189291	0.1741131	0.7305120	0.6601430	0.7462425	0.6705290
50	0.6569238	0.0531893	0.0076420	0.7183409	0.6594969	0.2338058	0.6423776	0.3889912	0.6834120	0.5776341
100	0.6319354	0.0475443	0.0016758	0.6258090	0.6597224	0.2650233	0.6820710	0.2042015	0.8242113	0.4986926
150	0.7023044	0.0746947	0.0029588	0.9091153	0.7065205	0.2614776	0.3587551	0.0607891	0.8127897	0.5088410
200	0.5770519	0.1124388	0.0036568	0.6961412	0.5981149	0.1484061	0.2145436	0.0830467	0.8816689	0.4271334
250	0.5890679	0.0452479	0.0339286	0.6717955	0.6348022	0.0880764	0.0950533	0.0807557	0.8159444	0.4822195
300	0.6277307	0.0562066	0.0015267	0.7264338	0.5864288	0.0395329	0.1059933	0.1021237	0.8688752	0.3817645
350	0.6322273	0.0790880	0.0062696	0.6190307	0.6779578	0.0414202	0.0386766	0.0586433	0.8046322	0.2838094
400	0.6284249	0.0889980	0.0017863	0.6919604	0.6827193	0.0242650	0.0498805	0.0976376	0.8264848	0.3597039
450	0.7526142	0.0425056	0.0014800	0.7382726	0.7765140	0.0184110	0.0761373	0.0750605	0.8255914	0.4384727
500	0.7088049	0.0456940	0.0001580	0.5594435	0.7926626	0.0150284	0.0328139	0.0299713	0.6888130	0.3642123
550	0.6736281	0.0651201	0.0064048	0.6432438	0.7684576	0.0305243	0.0645521	0.4691104	0.5766618	0.3937547
600	0.6490120	0.0758539	0.0084046	0.7213827	0.7113327	0.0334278	0.3781176	0.6707377	0.7533704	0.6289908
650	0.7075386	0.0775139	0.0141163	0.8326638	0.8227844	0.1555937	0.5087674	0.7199622	0.6892464	0.8085365
700	0.7233712	0.0584250	0.0090513	0.6451887	0.6698028	0.2513747	0.6244428	0.6877350	0.5905496	0.8602629
750	0.8013172	0.0613136	0.0066000	0.7709579	0.6124078	0.2867433	0.6834872	0.7364677	0.7179181	0.8667815
800	0.5878573	0.0745978	0.0079372	0.6322773	0.7993839	0.2416691	0.6302274	0.6949736	0.6835113	0.7215473
850	0.8113146	0.0577556	0.0013423	0.7186365	0.7451372	0.3157505	0.7217377	0.6723835	0.6819725	0.7225197
900	0.6435646	0.0788384	0.0063562	0.7394709	0.6489482	0.3036891	0.7831525	0.7145257	0.5627823	0.7982628
950	0.6191520	0.0918415	0.0104185	0.6800955	0.6721184	0.2077326	0.5861243	0.7581908	0.4977985	0.7061379
1000	0.6570580	0.0855855	0.0033244	0.6987075	0.6211683	0.3059543	0.6453883	0.8167197	0.5896559	0.7350970

0	0.5629993	0.0388948	0.0012856	0.6098069	0.7048105	0.2408929	0.7451866	0.6413495	0.6681414	0.7351705
50	0.6505042	0.0538614	0.0000309	0.6727311	0.5200577	0.3748228	0.7631777	0.6968321	0.7495766	0.6281014
100	0.6263244	0.0880677	0.0007319	0.7835179	0.5586437	0.4005033	0.7495298	0.7219471	0.8460526	0.7518775
150	0.5582241	0.0891981	0.0029781	0.7042220	0.4988497	0.4797986	0.7866106	0.7367771	0.4795800	0.8826323
200	0.4948996	0.1300083	0.0023669	0.7378973	0.4989316	0.3903489	0.9747287	0.7613185	0.6552413	0.8425721
250	0.4820945	0.0813758	0.0018110	0.6724272	0.5318209	0.3448539	0.6666223	0.7093009	0.6479882	0.7107266
300	0.5240859	0.0541198	0.0096881	0.6776691	0.5343050	0.5031671	0.7318151	0.7951105	0.6463674	0.8011546
350	0.5429506	0.0916794	0.0016759	0.8436608	0.5888298	0.3052938	0.6515731	0.6519501	0.8543274	0.7913817
400	0.6919782	0.0256971	0.0026250	0.7691477	0.5463369	0.4266042	0.8098473	0.7878680	0.8211632	0.6674111
450	0.7672701	0.0641586	0.0011094	0.8736173	0.5610211	0.4876533	0.7278094	0.7376001	0.8122182	0.7928550
500	0.6997802	0.0932198	0.0076368	0.7144586	0.5021976	0.4206706	0.7939840	0.6442055	0.7409677	0.7218337
550	0.5714447	0.0669816	0.0026380	0.7150620	0.5981338	0.3049560	0.6689421	0.7322981	0.7610546	0.6638488
600	0.6953036	0.0635300	0.0028472	0.7963807	0.5925964	0.2160847	0.5171221	0.7432705	0.7939678	0.7750013
650	0.6014619	0.1111816	0.0075906	0.7311371	0.7163072	0.2004574	0.6556536	0.7906216	0.7408744	0.7578784
700	0.5992765	0.1325802	0.0042427	0.7253410	0.6134566	0.3310794	0.6880451	0.7866446	0.7485800	0.7358065
750	0.6204775	0.0925483	0.0270778	0.8129299	0.6876898	0.2781170	0.6743793	0.7265158	0.5878495	0.7274795
800	0.7254470	0.0458038	0.0072634	0.6439278	0.7946235	0.2810287	0.5978494	0.8015371	0.7263887	0.5791212
850	0.6821757	0.0905189	0.0083194	0.6499846	0.6761178	0.2993457	0.6578675	0.7644338	0.6069358	0.6149341
900	0.6689498	0.0222202	0.0265810	0.8720989	0.7900611	0.3923933	0.6863225	0.7478594	0.6308101	0.8226814
950	0.6098757	0.0551754	0.0095237	0.7189464	0.8025653	0.3268186	0.6709946	0.7677809	0.6120838	0.7526000
1000	0.7437143	0.0381249	0.0041766	0.6467286	0.7028425	0.2734139	0.5761273	0.6736866	0.8070005	0.7122483

0	0.5578797	0.0722489	0.0052018	0.7284768	0.7522831	0.3588126	0.5958445	0.7570716	0.5963938	0.6450618
50	0.7539093	0.0866515	0.0008096	0.7121228	0.6994062	0.3279780	0.7181784	0.8881524	0.6527130	0.6985509
100	0.6987708	0.0500247	0.0047235	0.5448870	0.6520822	0.2732004	0.7060547	0.6758926	0.6815174	0.6643821
150	0.7466770	0.0475497	0.0007907	0.6050031	0.7621963	0.2666209	0.6748055	0.6665151	0.8675284	0.7148809
200	0.6856984	0.0304524	0.0000164	0.5418951	0.6744355	0.3602133	0.6929990	0.6866942	0.6724250	0.6792237
250	0.7147183	0.0217579	0.0018368	0.4760191	0.6876414	0.3127894	0.5924430	0.7642003	0.6245895	0.7825411
300	0.7305651	0.0462602	0.0016782	0.5339320	0.8203760	0.3862178	0.7076012	0.7776000	0.6845762	0.7320267
350	0.7603130	0.0302605	0.0010121	0.6445601	0.7948454	0.2977952	0.8508310	0.7781745	0.6849032	0.5621608
400	0.6725347	0.0372060	0.0028444	0.4932442	0.7052972	0.3547636	0.8162431	0.7299139	0.8843314	0.6517449
450	0.7152699	0.0558823	0.0000000	0.5977766	0.6611364	0.3666232	0.6314496	0.7018853	0.7104718	0.6059193
500	0.7978994	0.0578214	0.0002109	0.5643942	0.6817414	0.2663250	0.7241224	0.6003227	0.6792416	0.6238726
550	0.7336716	0.0641361	0.0033513	0.6381631	0.7288259	0.2844933	0.7488911	0.6886062	0.7039128	0.6392980
600	0.5573762	0.0760026	0.0046782	0.7420169	0.7488583	0.3211619	0.6101640	0.7575588	0.8198666	0.8345269
650	0.7011900	0.0630574	0.0103657	0.6706467	0.5839523	0.3247491	0.6192159	0.8682273	0.6644314	0.7719275
700	0.6189636	0.0656443	0.0211747	0.7482533	0.6219668	0.2412705	0.5982257	0.8089771	0.7719414	0.7876790
750	0.6642572	0.1037423	0.0229880	0.9060234	0.8068002	0.2884688	0.6423569	0.7598210	0.6882713	0.7583408
800	0.5365823	0.0992207	0.0047823	0.5227490	0.6163683	0.2572283	0.7101311	0.7491103	0.7762629	0.6205848
850	0.5625375	0.0727252	0.0007214	0.7812047	0.7762283	0.2709061	0.7535693	0.5856876	0.6386654	0.6283068
900	0.5580225	0.0712193	0.0037862	0.6890223	0.6048237	0.2558366	0.5892524	0.7167068	0.6563236	0.6066369
950	0.5703237	0.0380298	0.0039393	0.6717379	0.6646419	0.2889790	0.6144751	0.7391617	0.5946554	0.7974510
1000	0.7083080	0.0710491	0.0028046	0.7268680	0.6781085	0.3544243	0.6089524	0.7212618	0.6670945	0.6794249

0	0.6568692	0.0355807	0.0003316	0.6840260	0.6228683	0.2081773	0.6912458	0.6507968	0.7720687	0.7472232
50	0.5950458	0.0785417	0.0048465	0.4942305	0.6375640	0.2425518	0.6706227	0.7310354	0.8698908	0.8583746
100	0.5730359	0.0655670	0.0018816	0.2073057	0.7213869	0.3261542	0.7078684	0.8425094	0.8996106	0.7240332
150	0.4608256	0.0338214	0.0148057	0.0983220	0.5719360	0.2626201	0.7959768	0.7120684	0.7085738	0.7623605
200	0.4076509	0.0713787	0.0053067	0.0670322	0.7319776	0.3237081	0.6914311	0.7764408	0.7268363	0.7442775
250	0.3125980	0.0634035	0.2010626	0.0522613	0.6650748	0.2743265	0.8215723	0.8297572	0.7368727	0.8065933
300	0.3776110	0.0731365	0.4160840	0.0235858	0.4957572	0.1980112	0.7942586	0.6801279	0.7226912	0.6916544
350	0.4526219	0.1913067	0.4312088	0.0583310	0.4536156	0.2551671	0.7186469	0.5607340	0.7274511	0.5903836
400	0.3108723	0.2502642	0.6718618	0.0182464	0.3858810	0.1364940	0.6016850	0.6052850	0.7745622	0.7123541
450	0.2387804	0.3101828	0.7056107	0.0185795	0.3998594	0.0927654	0.6294730	0.5576021	0.8280221	0.7343015
500	0.1863150	0.5787792	0.6624973	0.0152998	0.2666690	0.1245798	0.8024746	0.5653337	0.7312874	0.8031375
550	0.1629873	0.5264032	0.5285282	0.2911502	0.3995108	0.1020214	0.7041291	0.5896839	0.6771617	0.6259474
600	0.0918444	0.3223116	0.1546176	0.4798866	0.4609068	0.1815914	0.7566103	0.5881789	0.6489201	0.6437516
650	0.1590954	0.2652612	0.0466759	0.5491454	0.6131140	0.1782956	0.5878917	0.6360617	0.7873777	0.7841585
700	0.3795712	0.1299071	0.0234668	0.6634813	0.5307172	0.1723763	0.5782674	0.7555483	0.6394962	0.8197228
750	0.4184472	0.0861849	0.0089863	0.7663626	0.7838908	0.2394645	0.5313798	0.6322611	0.6268147	0.7628501
800	0.4394480	0.0916730	0.0047216	0.7481112	0.4779354	0.2198572	0.6228892	0.7501975	0.6795511	0.7748263
850	0.5443774	0.0555648	0.0011787	0.7078354	0.6676771	0.2622194	0.6655711	0.7987789	0.7111014	0.7698368
900	0.5669840	0.0985959	0.0040619	0.6215999	0.7181150	0.2470559	0.6415908	0.6783792	0.6140531	0.8058804
950	0.5162020	0.0762188	0.0181773	0.6456714	0.6698338	0.2541070	0.7558232	0.7844174	0.6500066	0.7908195
1000	0.6115327	0.0462941	0.0114999	0.6557630	0.6919167	0.2202708	0.7109451	0.8165633	0.6599728	0.8455606

0	0.6653945	0.0519173	0.0004447	0.6714228	0.6222384	0.2766661	0.6814375	0.7735043	0.7058394	0.7995331
50	0.4593595	0.0696506	0.0041118	0.7550474	0.7792951	0.3351975	0.7428604	0.8049890	0.6209560	0.6730933
100	0.2470298	0.0272995	0.0015273	0.7970189	0.7567791	0.2945847	0.7108765	0.8318941	0.7949014	0.7016919
150	0.1554971	0.0649492	0.0028354	0.7233467	0.7900566	0.2741836	0.6699277	0.8389796	0.6646045	0.6848624
200	0.0970105	0.0421183	0.0067984	0.7534408	0.7328132	0.3001136	0.7664867	0.7410670	0.7292256	0.7496745
250	0.0820720	0.1150838	0.0030161	0.6632722	0.6728402	0.3215351	0.5822277	0.8328102	0.8416474	0.7326446
300	0.0421827	0.0764323	0.0041891	0.7388301	0.7755289	0.3098729	0.8022266	0.7265316	0.5618593	0.7514239
350	0.0312740	0.0671513	0.0019142	0.6980782	0.7343606	0.2563309	0.6944387	0.7578905	0.7865027	0.8574012
400	0.0200190	0.0663546	0.0009994	0.5770909	0.6729180	0.4934512	0.7211365	0.7996622	0.8016551	0.8811825
450	0.0165746	0.0586151	0.0021537	0.6340176	0.7755497	0.3737685	0.8021815	0.7442146	0.8423556	0.8393646
500	0.0386878	0.1001789	0.0170827	0.8869470	0.6901362	0.3467352	0.7068212	0.6515919	0.7408540	0.6849284
550	0.2375285	0.0638302	0.0103695	0.7282409	0.6811493	0.2865285	0.7067280	0.7219485	0.6419324	0.8485177
600	0.4894025	0.0450168	0.0032105	0.6851806	0.7108877	0.2074643	0.7234218	0.7316620	0.7078671	0.8078258
650	0.5448185	0.0722874	0.0061940	0.9038165	0.6872521	0.2730429	0.9012809	0.7142332	0.6940443	0.5966576
700	0.5380927	0.1198490	0.0045446	0.7952847	0.7177714	0.2069103	0.7467658	0.7471816	0.6537503	0.7063871
750	0.5374208	0.0555397	0.0021853	0.7487207	0.6886063	0.3172072	0.8001310	0.7173494	0.7009650	0.8079637
800	0.6875817	0.0790103	0.0184581	0.9082652	0.5933297	0.3336133	0.6975043	0.7550097	0.6375720	0.7873239
850	0.6220462	0.0378565	0.0142989	0.8234979	0.6431574	0.2476792	0.6845563	0.7635831	0.5931204	0.5514737
