YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.6141698	0.4343068	0.5290719	0.6227696	0.3377977	0.7732948	0.2008003	0.4719373	0.5448303	0.8022248
0.7121072	0.5206235	0.2627928	0.5147414	0.4649722	0.5715330	0.3201859	0.3760837	0.6669920	0.7654688
0.3061785	0.3313720	0.2683267	0.4279216	0.3857433	0.7925127	0.0978914	0.5204575	0.8957632	0.8446008
0.7219252	0.3887043	0.3094858	0.4912350	0.3529689	0.5655936	0.2851372	0.5518628	0.7898873	0.9020201
0.5859884	0.4040264	0.4447686	0.6534849	0.3551131	0.8615412	0.2498880	0.4430961	0.6710910	0.5705131
0.6951654	0.3490587	0.3988859	0.5183919	0.4331445	0.9421068	0.2079474	0.2817111	0.5378935	0.6406132
0.1035709	0.1824548	0.3315476	0.7729130	0.3254354	0.4728596	0.4104935	0.3037169	0.2369349	0.2101252
0.6423525	0.7505712	0.3565812	0.4274728	0.5209751	0.7296820	0.2646564	0.2343979	0.5824284	0.8125942
0.5962004	0.4499651	0.1866146	0.4069903	0.2418578	0.3920861	0.2509475	0.4919131	0.7041258	0.6757958
0.7745193	0.4054223	0.3651596	0.2845505	0.2710642	0.4634249	0.2119107	0.4027296	0.7164151	0.6813627
