YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.5553418	0.3012559	0.7573467	0.8160507	0.5645716	0.2368279	0.3926999	0.4488498	0.5027434	0.6485792
0.4742905	0.3662769	0.8292661	0.5537836	0.3294818	0.5294862	0.2586236	0.4977623	0.5393998	0.7242439
0.7441511	0.2245193	0.7504349	0.6479559	0.5107446	0.1554278	0.7276550	0.2875646	0.6857302	0.5543567
0.5225620	0.4899121	0.7139569	0.5763449	0.4584481	0.1827679	0.4855562	0.3905814	0.4113794	0.9986017
0.5339155	0.2307489	0.8799411	0.6455689	0.3326644	0.6141118	0.2090838	0.3808099	0.5339217	0.7584666
0.3869036	0.4277061	0.7917411	0.7351804	0.5547805	0.1752370	0.5736179	0.3866688	0.4224881	0.6100057
0.4383928	0.3781616	0.6477233	0.7709446	0.7198917	0.0861978	0.7272946	0.1872108	0.5190730	0.7304028
0.5661914	0.3065519	0.6625040	0.8173197	0.6585404	0.3938438	0.5127437	0.4503943	0.3528480	0.6001810
0.4173332	0.2889506	0.6352167	0.7669887	0.2304523	0.2558811	0.2804075	0.4394567	0.4787976	0.8853865
0.6148970	0.3284989	0.7573498	0.7666524	0.6941989	0.1542728	0.6423259	0.3739220	0.3933777	0.5957565
