YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.5863224	0.1682018	0.6883251	0.1043762	0.4511749	0.4612304	0.4640260	0.6138227	0.0980339	0.7615722
0.3983070	0.1416146	0.5213114	0.2167030	0.4536212	0.5830270	0.4457626	0.7627694	0.1091615	0.3284316
0.1235589	0.0461961	0.6084146	0.4940692	0.1176085	0.2949232	0.4592095	0.5754960	0.0819273	0.8036357
0.3613585	0.2239571	0.7630692	0.0918848	0.3531947	0.6184345	0.5762210	0.8903607	0.0128888	0.7231022
0.3406858	0.2286562	0.6499867	0.0549629	0.3697615	0.2234753	0.2627748	0.6907021	0.0978315	0.6150891
0.2238630	0.1131432	0.6597393	0.1874306	0.3158484	0.3972232	0.4860268	0.6869639	0.0594001	0.6344290
0.3428347	0.4839707	0.6739586	0.2119131	0.3442178	0.1734933	0.2692861	0.6570651	0.0178769	0.5723043
0.4997615	0.3586951	0.7596387	0.1694195	0.4027443	0.4218449	0.4090122	0.4727945	0.0689107	0.4330517
0.3992649	0.2412365	0.7676967	0.1195798	0.3670873	0.0611226	0.3225898	0.7890562	0.0265440	0.9032170
0.3257236	0.1298182	0.7228175	0.1563529	0.3192884	0.0996618	0.2615483	0.6679387	0.0469672	0.6018974
