YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.3824198	0.0593133	0.3684167	0.8221403	0.9999561	0.0038528	0.8990807	0.8479709	0.6044513	0.5413223
0.0047425	0.0068317	0.3954278	0.8660383	0.9999694	0.0032018	0.9429466	0.9596073	0.7706809	0.5801013
0.4737386	0.2765200	0.3720890	0.9367504	0.6842484	0.0027072	0.9413796	0.9368121	0.7058749	0.6413337
0.0472858	0.0404321	0.3592966	0.9785715	0.9995017	0.0122494	0.9387223	0.9449742	0.6467571	0.6938852
0.0023268	0.0039675	0.3574925	0.8057039	0.8558658	0.0025643	0.9575155	0.9271627	0.6807513	0.6636655
0.0311456	0.0291162	0.4955947	0.6301735	0.9995240	0.0119784	0.9595314	0.9868465	0.9620295	0.1871715
0.1063914	0.0040435	0.3614999	0.7460207	0.9999725	0.0030295	0.9100915	0.8695765	0.6354427	0.6536133
0.3454410	0.0025861	0.3263454	0.8648003	0.8315261	0.0121779	0.9439078	0.9513650	0.7187780	0.6301508
0.3526288	0.2558348	0.2971988	0.9972947	0.9498993	0.0121328	0.9468754	0.9077672	0.6048139	0.7310544
0.5667054	0.3998428	0.3670153	0.9531502	0.7717040	0.0121823	0.9433108	0.8988073	0.6277430	0.6159337
