YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.0030330	0.5298020	0.3223565	1.0159224	0.5127364	0.9707004	0.8563891	0.7054429	0.1863303	0.8858764
0.0880989	0.2865057	0.5443944	0.7177394	0.4741991	1.0380462	1.0598362	0.4202589	0.2014572	0.9747600
0.2286754	0.4781261	0.3371195	1.0223693	0.5564767	1.0422473	1.0163015	0.8802824	0.3661415	0.5812049
0.0567321	0.3187858	0.4485055	0.8099386	0.5032269	0.9243860	1.0123722	0.4325034	0.1260022	1.0118116
0.0703331	0.4858105	0.4866381	0.7968723	0.6733796	1.0452568	0.8903715	0.5703021	0.2062971	0.8712689
0.0062953	0.5289108	0.4020420	0.8588881	0.4715355	0.9099709	0.5770689	0.1835200	0.1458042	0.9768761
0.0615180	0.3661420	0.4973635	0.9194331	0.4771935	1.0695387	0.9563094	0.6529821	0.2664431	0.7954705
0.2330592	0.5038003	0.4342353	0.9743422	0.5123649	0.9956061	1.0010775	0.7037081	0.2363427	0.6951851
0.2155421	0.4655292	0.3343907	0.9440621	0.6855109	1.0676054	1.0552198	0.7982217	0.3574001	0.5758320
0.2221579	0.2440549	0.5559719	0.8861629	0.6398787	1.0148974	0.8495985	0.3779446	0.1910551	1.0173552
