YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.0000000	0.3644022	0.8408883	0.9426236	0.6304549	0.0467659	0.6462636	1.0841535	0.4685538	1.1318887
1.0166041	0.0000000	0.0624899	0.2863810	0.2009335	0.7272217	0.7030836	0.7572439	0.8319371	0.8743669
0.4555141	0.7075933	0.0000000	0.1872592	0.2413749	0.2698759	0.6208174	0.9572831	0.7552171	1.0756488
0.4001986	0.7400748	0.0761243	0.0000000	0.2514159	0.2076813	0.7160359	0.9695688	0.8648612	1.0876735
0.4495785	0.7937718	0.1212832	0.1215485	0.0000000	0.2349752	0.6371297	0.9892586	1.0051606	1.0366575
0.4642871	0.6364059	0.0745430	0.2609681	0.2696825	0.0000000	0.6989462	1.0459673	0.7392184	1.0357120
0.6531354	0.6503742	0.0903513	0.3217921	0.1845209	0.4259264	0.0000000	0.9365384	0.8671493	0.9578382
0.5255579	0.7545748	0.0938055	0.2378592	0.1648397	0.0634375	0.0789222	0.0000000	0.9831894	0.9694360
0.4299477	0.6931440	1.0292179	1.0474237	0.9496132	0.1583942	0.4655966	0.6415631	0.0000000	1.1383141
0.3957856	0.7558241	0.0723536	0.1914580	0.1893363	0.1878497	0.7076536	0.9459982	0.8290577	0.0000000
