YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.7216292	0.4239122	0.2617803	0.7967131	0.3679901	0.5029719	0.3925637	0.0305165	0.2478739	0.3669758
0.7204740	0.2542509	0.3590181	0.5235513	0.5517167	0.3561855	0.7118704	0.3311701	0.4387734	0.5282930
0.8032753	0.4170418	0.3028418	0.7268176	0.4988062	0.3061899	0.5986458	0.0230200	0.2451138	0.5242653
0.7902045	0.3264545	0.4318486	0.2952261	0.3470088	0.3184189	0.7434905	0.0461512	0.4665856	0.4821901
0.7227317	0.3053981	0.3215823	0.5604716	0.1677213	0.8147128	0.3170174	0.0588123	0.1842410	0.3334042
0.7038944	0.3214090	0.3899064	0.3807289	0.2739831	0.6732224	0.2476665	0.2725972	0.6275803	0.1482772
0.6951822	0.3950467	0.1640151	0.6634091	0.3831751	0.5808076	0.5828025	0.0700534	0.3860829	0.4603809
0.8011116	0.2527915	0.2229605	0.7475365	0.1638931	0.6658338	0.5036042	0.0050020	0.1543602	0.3637731
0.6690909	0.3388837	0.2628930	0.6734488	0.6214510	0.2191279	0.7069646	0.0031393	0.1309221	0.6411495
0.6508718	0.1805467	0.5262922	0.4180253	0.3311787	0.5379374	0.7154882	0.2590200	0.4202244	0.4317833
