YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.0000850	0.0076216	0.0370561	0.6857939	0.5002142	0.9119255	1.0000000	0.9999938	0.8415416	0.5494249
0.0026906	0.0358836	0.0579264	0.6237342	0.1366712	0.6841061	0.5255416	0.9999970	0.3330857	0.1996931
0.8353106	0.7335149	0.9994803	0.0180934	0.5976618	0.9547152	1.0000000	0.9999764	0.0000636	0.0291700
0.1207767	0.2051828	0.0306517	0.6843780	0.5329942	0.9665809	1.0000000	0.9365207	0.6057410	0.3809369
0.8148166	0.5876218	0.9999888	0.0024095	0.3327520	0.8593974	0.8112270	0.4447888	0.1747004	0.0734115
0.3645548	0.3202538	0.0545769	0.6391184	0.3839882	0.8995415	0.7838625	0.9999733	0.9002025	0.5560611
0.0790177	0.1446303	0.0716867	0.5124385	0.5693179	0.9763287	1.0000000	1.0000000	0.0000033	0.0041802
0.2032226	0.1749760	0.3628485	0.2268656	0.2896199	0.8483218	0.7869697	0.9977548	0.3129163	0.1911025
0.3984272	0.2936480	0.0229053	0.8678866	0.1367849	0.7451596	0.6231548	1.0000000	0.0000002	0.0012083
0.2929134	0.2095465	0.2674878	0.2784719	0.3186019	0.8645004	0.8235046	0.9999363	0.0087526	0.1013901
