YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.0000000	0.7062374	0.3830882	0.7262319	0.5400290	0.9989785	0.0156478	0.3734462	0.9254572	1.0000000
0.0935143	0.0000000	0.3830262	0.7263543	0.5397849	0.9983160	0.0211452	0.3748881	0.9254572	1.0000000
0.9557311	0.7844686	0.0000007	0.7492791	0.5008284	0.8986065	0.2633770	0.4824865	0.9254572	1.0000000
0.9464340	0.7397652	0.0732801	0.0000028	0.5008412	0.8986335	0.2633332	0.4824664	0.9254572	1.0000000
0.8961470	0.5968311	0.3784952	0.9999435	0.0000003	0.8987869	0.2630563	0.4823493	0.9254572	1.0000000
0.8960424	0.5970838	0.3776569	0.9945818	0.0391909	0.0000001	0.2630539	0.4823472	0.9254572	1.0000000
0.9385543	0.7082545	0.3831228	0.7258975	0.5404325	0.9999997	0.0000006	0.3707447	0.9254572	1.0000000
0.9549047	0.7793694	0.3637308	0.8729360	0.2978451	0.4949129	0.9939507	0.0000000	0.9254572	1.0000000
0.9547384	0.7783839	0.3417376	0.8045990	0.4097571	0.6989080	0.5894896	0.2541187	0.0000006	1.0000000
0.9545977	0.7775347	0.3412832	0.8025687	0.4129694	0.7052873	0.5788875	0.2592416	0.0629818	0.0000000
