YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.0000000	0.2046489	0.0486208	0.0520946	0.5447367	0.4707948	0.2329300	0.3356764	0.7341622	0.6159506
0.1364211	0.0000000	0.0148354	0.0417284	0.6762434	0.3960510	0.3419439	0.3887874	0.5484856	0.6198049
0.2683848	0.1575020	0.0000000	0.0306277	0.6624212	0.3432968	0.2924279	0.3022003	0.6897044	0.7637347
0.1975615	0.1368872	0.0098109	0.0000000	0.7517499	0.3604156	0.3746180	0.4420133	0.7312818	0.8275102
0.2430932	0.2973961	0.4584601	0.6028720	0.0000000	0.2055809	0.2411918	0.4396297	0.6805002	0.6167769
0.2394738	0.2540616	0.4939989	0.7035173	0.0095476	0.0000000	0.2290542	0.4442802	0.7950023	0.5841675
0.3349137	0.1986474	0.3536990	0.6145592	0.0362794	0.0210540	0.0000000	0.3290405	0.6225674	0.7551157
0.4682471	0.3691396	0.4098842	0.5835604	0.0231561	0.0441944	0.0508988	0.0000000	0.6645546	0.5859947
0.4298689	0.3619387	0.4859990	0.7029554	0.0503330	0.0515571	0.0334232	0.0059524	0.0000000	0.7113705
0.2903162	0.3086152	0.4330547	0.6454329	0.0288247	0.0564218	0.0410418	0.0225682	0.0252372	0.0000000
