YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.6338358	0.7200218	0.4505740	0.8470845	0.1366422	0.3187455	0.7510611	0.2879106	0.7566838	1.0000000
0.4676435	1.0000000	0.5549038	0.6025166	0.5456350	0.5673946	0.4461783	0.2908961	0.5941902	1.0000000
0.5710400	0.8689242	0.4887122	0.7466269	0.3034137	0.0703500	0.5916389	0.3510472	0.5507431	1.0000000
0.7397473	0.2394875	0.6302674	0.8262164	0.2315025	0.4550361	0.6181349	0.3776868	0.4874593	0.7209898
0.4878955	1.0000000	0.4574481	0.7399679	0.2830040	0.5284664	0.5517903	0.4318490	0.3853368	0.4565358
0.4128048	0.8929482	0.3875277	0.8637756	0.2454295	0.4745834	0.6437742	0.3249592	0.5755423	1.0000000
0.4878955	1.0000000	0.3597224	0.8371388	0.2556936	0.4885710	0.6398818	0.3205839	0.6384199	0.9046796
0.3834246	1.0000000	0.0913800	0.9397634	0.2030819	0.4147410	0.7211571	0.2510791	0.4636450	0.6842610
0.2065929	0.8526052	0.5743284	0.6431668	0.4526412	0.7442550	0.2845781	0.3451663	0.5664477	0.7931971
0.5728616	0.8868590	0.5801681	0.6178576	0.5404891	0.5491442	0.4012486	0.2490435	0.5907589	1.0000000
