YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.0000000	0.8123539	0.3586287	0.4975118	0.5188055	0.8603401	0.3987383	0.2083833	0.4695699	0.9416495
0.6533788	0.0000000	0.3797390	0.6655289	0.1479222	0.2678304	0.5191811	0.1908850	0.4009665	0.8196900
0.2805918	0.8088840	0.0000000	0.4757314	0.2485107	0.3645276	0.4917830	0.2310342	0.4276307	0.8048031
0.3824158	0.6662277	0.4426139	0.0000000	0.2085283	0.3060403	0.6455496	0.2003845	0.4554077	0.8483214
0.4687751	0.8039280	0.1238192	0.8896346	0.0000000	0.3520915	0.7859615	0.2082736	0.4991726	0.8221515
0.3220281	0.7480630	0.2169721	0.6399138	0.0271974	0.0000000	0.5036814	0.2850883	0.2996171	0.7563573
0.4913109	0.7665531	0.3748336	0.6948828	0.2986440	0.3927414	0.0000000	0.2759577	0.4905391	0.6371744
0.4206067	0.7214854	0.3924714	0.6541406	0.1796289	0.2608731	0.7002803	0.0000000	0.5095576	0.8353998
0.3327357	0.7521033	0.4151142	0.5817581	0.2162245	0.3913665	0.1345374	0.7264319	0.0000000	0.8517702
0.3759492	0.7131654	0.3817806	0.5253264	0.2339261	0.5356164	0.4496397	0.4421308	0.2009412	0.0000000
