YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0554768	0.0379741	0.5049653	0.6197375	0.6866859	0.0451808	0.0453111	0.2569356	0.4748741	0.0086025
0.1257246	0.0136615	0.4839186	0.6357708	0.7448538	0.1015387	0.0733169	0.2472467	0.5394156	0.0042495
0.1398676	0.0074228	0.2160302	0.5378980	0.7844193	0.0950583	0.0678742	0.2303625	0.4166873	0.0195670
0.0851840	0.0563299	0.6745805	0.3520590	0.7702864	0.0521039	0.0908331	0.1603552	0.3407421	0.0058486
0.0808257	0.0550779	0.7737676	0.2423640	0.3867983	0.0533395	0.0413246	0.2936841	0.5096704	0.0149807
0.0492591	0.0323130	0.6700746	0.7138585	0.8862965	0.0523772	0.0877196	0.1379201	0.5593491	0.0149811
0.0858571	0.0266651	0.3838779	0.6610284	0.8081899	0.0305119	0.0141798	0.2244844	0.2937482	0.0292518
0.2404320	0.3280351	0.8433473	0.0494765	0.1208511	0.7304266	0.4568524	0.0979856	0.3030817	0.3050196
0.2873854	0.3363719	0.7966159	0.0142540	0.0481577	0.7254232	0.8022335	0.0556206	0.1205022	0.6198910
0.0716483	0.0220926	0.6226490	0.5136254	0.7521317	0.0698259	0.0739390	0.2596533	0.3623725	0.0056704
