YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.0000000	0.4465315	0.7810092	0.1161611	0.8106535	0.8030931	0.9086409	0.5595280	0.0000000	0.3336671
0.0000000	0.5109386	0.8079497	0.0669668	0.7570643	0.7323037	0.8810684	0.4991988	0.0413913	0.0000000
0.9615279	0.0000000	0.7627392	0.0000000	0.7749595	0.6963098	0.6530869	0.2630920	0.0309773	0.0039081
0.8700604	0.4779100	0.7608946	0.0970641	0.7576060	0.7479881	0.6649939	0.2791531	0.0000000	0.0000000
