YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0784174	0.5171356	0.5079738	0.4109310	0.5338648	0.1654324	0.3539675	0.5555536	0.4690321	0.0735009
0.1149431	0.4120051	0.4064511	0.3021427	0.5687008	0.1971753	0.4262838	0.1410462	0.3416743	0.1650243
0.1165609	0.8537199	0.3448082	0.5810347	0.5852438	0.1503764	0.3297502	0.7518337	0.7048058	0.0482575
0.1024149	0.8963804	0.2315570	0.2254015	0.7504701	0.1175845	0.2550017	0.6092769	0.6394129	0.0330622
0.0833251	0.6966241	0.3840319	0.3290885	0.3549318	0.1033824	0.2430830	0.7385296	0.6240325	0.0700269
0.1366499	0.6797595	0.4679659	0.3824127	0.5042336	0.0839539	0.3385258	0.6867086	0.4866099	0.0090240
0.1367820	0.5906267	0.4507476	0.4583047	0.5213441	0.1069554	0.1337756	0.6437328	0.5758403	0.0309356
0.1340634	0.7697223	0.5014164	0.4298449	0.4024624	0.1859230	0.4207216	0.3749888	0.6053236	0.1007234
0.1248356	0.8262160	0.2293134	0.2774664	0.6796177	0.2402192	0.4468017	0.2099130	0.3136788	0.2876297
0.1719603	0.6461343	0.4787876	0.3487616	0.5223984	0.1674853	0.2871924	0.4929617	0.5223437	0.0386583
