"Time"	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C

0	0.4117050	0.2308016	0.3753748	0.5871495	0.5032102	0.6993562	0.0775651	0.6630166	0.9327498	0.8132056
50	0.4404914	0.2493930	0.4551518	0.5316953	0.4242676	0.8092506	0.5039195	0.7551406	0.4473137	0.7322204
100	0.4879287	0.2433519	0.4222965	0.5838584	0.4517153	0.5736001	0.4978878	0.9100163	0.4746710	0.6096434
150	0.3634982	0.2045618	0.3568831	0.6333539	0.3655926	0.4460975	0.6170176	0.6160285	0.3507874	0.6730839
200	0.4765829	0.2251520	0.3631785	0.5662246	0.4176960	0.4497586	0.6362791	0.6371592	0.4051859	0.7415940
250	0.5440596	0.1973470	0.4282517	0.4960573	0.2839199	0.4462086	0.6130653	0.6758285	0.3485067	0.7298438
300	0.4374404	0.3183600	0.4056062	0.6034465	0.3314557	0.4305490	0.6354119	0.6351693	0.4000119	0.8905305
350	0.4649461	0.2423205	0.3308363	0.5020187	0.3388835	0.3813625	0.6079192	0.7919629	0.4309638	0.7271437
400	0.4501496	0.2473518	0.3165653	0.5274572	0.2366674	0.3996806	0.6346606	0.6158549	0.3539221	0.8587593
450	0.3751297	0.1829484	0.3978756	0.3503356	0.2763473	0.3626837	0.8206725	0.6769371	0.3992443	0.7030212
500	0.3286887	0.2836347	0.4779290	0.3754905	0.3678793	0.4653650	0.5435650	0.5783225	0.3688788	0.7220823
550	0.3594674	0.2340752	0.3989597	0.5001844	0.2750774	0.4794612	0.1097638	0.5132048	0.7167378	0.5939189
600	0.5180028	0.2678080	0.3696623	0.4099364	0.3699647	0.6823134	0.0358041	0.5268403	0.6158210	0.7640499
650	0.4591095	0.2869828	0.5035305	0.4325410	0.4582518	0.6631213	0.0196254	0.5969333	0.6884264	0.8100287
700	0.3388693	0.3534793	0.4275121	0.4793204	0.4025950	0.7776954	0.0530110	0.4767219	0.6362087	0.8201818
750	0.3073477	0.2752879	0.4237019	0.4964264	0.4342469	0.7812906	0.0349846	0.7788441	0.7151088	0.6993480
800	0.4388425	0.1805612	0.3298740	0.5004704	0.4606737	0.5223382	0.0438032	0.6115702	0.6880518	0.7099050
850	0.4519669	0.1480377	0.3609170	0.6611672	0.4480449	0.7684095	0.0300458	0.6519802	0.8240189	0.7306753
900	0.3793385	0.1860447	0.2976618	0.5527995	0.5168109	0.7862575	0.0129895	0.6946392	0.6367364	0.7683801
950	0.4520865	0.2153634	0.3823778	0.5361472	0.4766156	0.7664152	0.0382204	0.6822755	0.6505537	0.7228137
1000	0.3503500	0.2226614	0.3262776	0.5167775	0.5069724	0.7290988	0.0414565	0.7149335	0.7247691	0.6480254

0	0.5181462	0.1914531	0.3767667	0.5296541	0.5522554	0.7670224	0.0388247	0.5858316	0.8366290	0.7542485
50	0.4481960	0.2168222	0.3956591	0.3930263	0.4505032	0.8498760	0.0161893	0.7050084	0.7305472	0.6612181
100	0.4116568	0.2509566	0.6015930	0.3000540	0.4513160	0.8331393	0.0236722	0.8312029	0.6441025	0.5405705
150	0.3897348	0.3811421	0.6337014	0.3076298	0.4371138	0.7882214	0.0242268	0.6580598	0.6922498	0.6161592
200	0.2678277	0.4174812	0.6471421	0.3988766	0.3995591	0.8023523	0.0447964	0.6379480	0.8388249	0.5767284
250	0.2891562	0.5396266	0.5175451	0.3506954	0.3332654	0.6262209	0.0266670	0.6838001	0.7705646	0.5334340
300	0.2817276	0.3858595	0.6186965	0.3732166	0.4698965	0.7061960	0.0147026	0.4748709	0.9019558	0.4760974
