YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.2843905	0.1823895	0.0552981	0.7706115	0.2642422	0.4261140	0.3344835	0.0110514	0.4007790	0.2270426
0.6815564	0.0945947	0.0651980	0.7325770	0.3856783	0.3654305	0.3091762	0.0207678	0.4962123	0.2149127
0.6952006	0.0613862	0.0698279	0.7638476	0.4203881	0.4782027	0.2544895	0.0171822	0.4646247	0.3009958
0.2744613	0.6907110	0.2489135	0.3849457	0.4235664	0.3081183	0.3062935	0.0159759	0.4824518	0.1678110
0.4556786	0.2216047	0.0889577	0.8705907	0.2262438	0.3247408	0.6509317	0.0143664	0.5699731	0.0973226
0.5338935	0.4429502	0.1619555	0.7044990	0.3232047	0.2391984	0.3078299	0.0364611	0.7988497	0.1328131
0.8169222	0.1741263	0.1953218	0.7438363	0.2833615	0.5137895	0.2573394	0.0112837	0.3735799	0.4211364
0.5459527	0.1889875	0.0941512	0.7337666	0.3700190	0.3532882	0.3733217	0.0111735	0.4222536	0.3410208
0.5726929	0.1486231	0.0834713	0.8598380	0.4024662	0.4174913	0.3437249	0.0187005	0.2557507	0.2120666
0.5377372	0.2863258	0.2116384	0.7491071	0.3428971	0.4502606	0.3096349	0.0208998	0.6252090	0.1279129
