YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.3197404	0.4917511	0.7590896	0.5829573	0.6984239	0.1574136	0.1035747	1.0000000	0.9505151	1.0000000
0.9899273	0.2458773	0.7590951	0.5829189	0.6984449	0.1574136	0.1035747	1.0000000	0.9505159	1.0000000
0.9958276	0.2112521	0.3795445	0.5829226	0.6984052	0.1574136	0.1035747	1.0000000	0.9505009	1.0000000
0.7698187	0.4404683	0.6821916	0.3981354	0.4745390	0.1574136	0.1035747	1.0000000	0.5881889	1.0000000
0.5478087	0.5258519	0.8141931	0.8080543	0.4615701	0.1574136	0.1035747	1.0000000	0.9945004	1.0000000
0.6402599	0.4914014	0.7585521	0.5812603	0.7004332	0.0787082	0.1035747	1.0000000	0.9495910	1.0000000
0.6403132	0.4914244	0.7585643	0.5811952	0.7002729	0.0843399	0.0517878	1.0000000	0.9495661	1.0000000
0.6358580	0.4933024	0.7615989	0.5910121	0.6895086	0.2867947	0.1853862	0.5000000	0.9547304	1.0000000
0.6394613	0.4917602	0.7590708	0.5829360	0.6983042	0.1574136	0.1035747	1.0000000	0.4752319	1.0000000
0.6394659	0.4917528	0.7590784	0.5829770	0.6983631	0.1574136	0.1035747	1.0000000	0.9504950	0.5000033
