YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.8010251	0.0006995	0.0089500	0.2550948	0.4478969	0.0348235	0.1903005	0.6748873	0.0000006	0.4090068
0.6234416	0.2140033	0.4460029	0.1978988	0.7539694	0.0136216	0.3288306	0.6197478	0.2718192	0.7221174
0.4356672	0.4465429	0.2466710	0.1524494	0.8864165	0.0133197	0.2759947	0.7486557	0.0010061	0.6955053
0.6120017	0.3548803	0.4147787	0.4031053	0.3258559	0.0406054	0.1382578	0.7746784	0.0000738	0.4099321
0.5635174	0.0310744	0.2988746	0.2526023	0.7838582	0.0695479	0.2252114	0.6492456	0.2815289	0.2464542
0.6454189	0.2122400	0.4856013	0.1187066	0.6851056	0.0077992	0.8555393	0.8382730	0.0006537	0.6954055
0.4535768	0.2789860	0.3500729	0.1271520	0.5923974	0.0092175	0.3099349	0.4720181	0.0080824	0.7502385
0.4905630	0.4833807	0.7459493	0.1301044	0.7550174	0.0593093	0.6031654	0.5759817	0.0049411	0.4352809
0.6142199	0.1004605	0.1245224	0.1967698	0.7266528	0.0401695	0.8259682	0.8527214	0.0093970	0.5515736
0.4612466	0.3721114	0.6534541	0.1619446	0.7489853	0.0202809	0.6373162	0.5848184	0.1581051	0.6432635
