YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.5825246	0.2631303	0.6628984	0.7269381	0.6390007	0.0259143	0.7075766	0.7839675	0.7452459	0.0548700
0.2886979	0.1908392	0.6040601	0.5160104	0.8268625	0.0886610	0.6415397	0.7944932	0.6995828	0.0278157
0.2412872	0.4261152	0.5953765	0.4997476	0.7091231	0.1193941	0.6523177	0.7706612	0.6322312	0.0660707
0.6757720	0.2407193	0.6914472	0.6182875	0.8339166	0.0534285	0.8966949	0.7466245	0.6635850	0.0642411
0.3231661	0.1859796	0.6387470	0.8251461	0.6974764	0.0648284	0.6776727	0.6606575	0.7734666	0.0575189
0.5157863	0.2753425	0.5738029	0.5720456	0.7121105	0.1231199	0.5879159	0.7888943	0.8176714	0.0594089
0.0909100	0.3485789	0.5225662	0.4481749	0.5120131	0.1814567	0.5711807	0.9271925	0.8946136	0.0529598
0.3183929	0.1793692	0.7359218	0.6608812	0.8173359	0.1566776	0.7066663	0.8090151	0.7375523	0.0695755
0.7754551	0.2033944	0.6921291	0.5178921	0.7327695	0.0883363	0.7074196	0.8840564	0.6931277	0.0755145
0.4505597	0.1623479	0.6114129	0.5714034	0.7249042	0.1593064	0.6579151	0.6561582	0.6791610	0.0346213
