YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0000000	0.0460971	0.2430155	0.2023794	0.4455975	0.4208888	0.4824817	0.7667080	0.3869405	0.7563402
0.1100177	0.0000000	0.3039282	0.2250026	0.4012764	0.4951574	0.4174117	0.7659828	0.2255846	0.8289827
0.0480282	0.0137413	0.0000000	0.1893055	0.4388830	0.5569762	0.3555916	0.7913651	0.2154747	0.8097427
0.7500394	0.6207920	0.8518392	0.0000000	0.1375266	0.3684725	0.5571062	0.8146487	0.2524505	0.7531203
0.0883711	0.0154660	0.0539645	0.8214259	0.0000000	0.5677632	0.4855919	0.7509843	0.1437306	0.8035445
0.1456099	0.1304706	0.1893979	0.3968337	0.3983266	0.0000000	0.4765477	0.8377854	0.2182026	0.7243875
0.0612606	0.0229930	0.2331766	0.0831879	0.8845624	0.0102490	0.0000000	0.8335089	0.3319887	0.7756967
0.2065581	0.2183081	0.3484816	0.2021688	0.3463720	0.0081984	0.0147759	0.0000000	0.2519178	0.8869452
0.0746580	0.0180083	0.2237976	0.1532139	0.5335288	0.5136368	0.4499616	0.7507885	0.0000000	0.7387227
0.0570348	0.1040587	0.4467331	0.2771586	0.4890108	0.5365176	0.4688737	0.7303078	0.6343806	0.0000000
