"Time"	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C

0	0.1261171	0.7067174	1.0226827	0.8871152	1.0972204	1.0433856	0.0732812	0.9802014	1.0838423	1.0386250
50	0.0215038	0.7312933	1.0616012	0.9975934	0.9891585	0.9697792	0.0833992	0.5828635	1.0144242	0.9879182
100	0.0002898	0.7599023	1.0028215	0.9554457	1.0273795	0.9100538	0.1484278	0.5005300	1.0389990	1.0381232
150	0.0005884	0.7386423	1.0021549	0.9815324	1.0512673	0.9269233	0.1985628	0.4054280	0.9619111	1.0321506
200	0.0000612	0.7651840	1.0204949	0.9506035	0.9719626	0.9624419	0.2757959	0.4149823	1.0415573	1.0069513
250	0.0001297	0.6867961	1.0815575	0.9904348	1.0328279	0.8982344	0.2916123	0.3867535	0.9860484	0.9499533
300	0.0007171	0.7552644	1.0370602	1.0236347	0.9828941	0.9298899	0.2700665	0.4133956	0.9617692	1.0135709
350	0.0000000	0.7604179	1.0070469	0.9384542	0.9226708	0.9362944	0.2940833	0.4265331	1.0108982	0.9767311
400	0.0000262	0.7180896	1.0718744	0.9612460	0.9331252	0.9793682	0.3369843	0.4161145	1.0983769	1.0381085
450	0.0000000	0.7153455	1.0444089	0.9194572	0.8986934	0.8788228	0.3854369	0.3994637	1.0301591	0.9479752
500	0.0000075	0.6774624	1.0557539	1.0308690	0.9991390	0.8458119	0.3007678	0.4474453	1.0340802	0.9880402
550	0.0779953	0.6785289	1.0032086	1.0208796	1.0144365	0.9441980	0.2165151	0.8469408	1.0207824	0.9836572
600	0.0958563	0.7433533	1.0437506	0.9990828	0.9482146	1.0121538	0.1190441	0.9072767	1.0083512	1.1320306
650	0.1390301	0.8070600	0.9786034	0.9324475	0.9626116	1.0201657	0.0915714	1.0603741	1.0329797	1.0190834
700	0.1446006	0.6854226	0.9410022	0.9663315	1.0252598	1.0197902	0.0635752	0.9542596	0.9619893	1.0030394
750	0.1305493	0.7975183	0.9320892	0.9250718	1.0182137	1.0026079	0.0682482	1.0019172	0.9389831	1.0627738
800	0.1012834	0.7447678	1.0169152	0.9722212	0.9678337	0.9923327	0.0509032	0.9502014	0.9462800	1.0128461
850	0.1068037	0.7180332	0.9684279	1.0151096	0.9571074	1.0148809	0.0443195	1.0304442	1.0947971	0.9546834
900	0.1753045	0.6673355	0.9152092	0.9827670	0.9706629	0.9743964	0.0498541	0.9372966	0.9933467	0.9633580
950	0.1252780	0.6548294	0.9566722	0.9912464	0.9677353	0.9620428	0.0487935	0.9395872	1.0502575	1.0245947
1000	0.1750004	0.6670501	0.9757665	1.0557405	0.9828409	0.9879795	0.0755398	0.9474952	1.0622762	1.0073720

0	0.1261171	0.7067174	1.0226827	0.8871152	1.0972204	1.0433856	0.0732812	0.9802014	1.0838423	1.0386250
50	0.1114042	0.7105378	1.1178467	1.0192508	0.9364875	0.5847847	0.0583716	0.9765908	1.0152777	1.0291886
100	0.1604730	0.6490810	1.1203688	1.0669379	0.9551665	0.5084603	0.0740422	0.9612385	1.0623276	1.0279633
150	0.2000334	0.7524250	1.0331036	1.0295003	0.9774916	0.4488993	0.0636660	1.0199781	0.9830435	1.0348770
200	0.1424897	0.7010146	0.9952723	0.9992169	1.0247454	0.4132911	0.0584171	1.0086597	0.9775458	0.9675732
250	0.1227524	0.7732788	1.0304358	1.0670143	0.9870447	0.3661818	0.0603325	1.0074335	1.0463101	1.0343961
300	0.1540860	0.7298137	0.9609736	0.9758161	1.0099217	0.4017625	0.0692007	0.9508182	1.1051317	1.0276315
350	0.1474986	0.7771094	1.0165715	0.9631730	1.0301976	0.3659480	0.0413518	1.0216774	1.0326532	0.9842892
400	0.1341511	0.7616120	1.0303005	0.9978826	1.0004464	0.4416325	0.0461922	0.9932436	1.0059406	1.0302035
450	0.1603810	0.7340936	1.0085855	1.0527336	1.0666441	0.4288053	0.0607994	0.9745835	1.0095949	1.0790527
500	0.1524126	0.7169454	1.0155197	0.9971192	1.1240489	0.4523453	0.0535653	0.9848612	1.0116801	1.0077893
550	0.1471360	0.7173165	1.0283459	1.0463900	1.1479558	0.8299600	0.0648940	1.0005414	1.0764449	1.0740390
600	0.1566949	0.7358510	1.0013468	1.1221001	1.0160469	0.9092194	0.0758754	0.9812163	1.0785932	0.9790256
650	0.1385597	0.7203093	0.9946773	0.9695610	0.9958350	0.9254793	0.0882424	0.9449338	1.0138181	0.9641258
700	0.1364714	0.7388874	1.0338709	1.0270592	1.0409396	0.9752009	0.0708463	1.0026377	1.0032985	0.9881017
750	0.1441317	0.7629905	0.9542566	1.0532884	1.0060881	1.0031657	0.0421426	0.9778619	1.0273076	1.0089825
800	0.1060775	0.6861220	0.8851198	0.9758894	1.0459950	0.9642220	0.0708245	0.9858885	1.0292579	0.9951759
850	0.1239742	0.7937555	0.9946013	0.9866171	1.0087950	0.9638663	0.0630824	0.9280229	1.0391344	0.9962263
900	0.1350146	0.6830307	0.9416027	1.0426608	0.9443933	0.9447566	0.0370804	0.9834388	1.0224427	0.9547885
950	0.1580868	0.7389717	0.9229043	0.9933955	0.9024544	0.8942872	0.0516769	1.0356810	0.9415215	0.9062466
1000	0.1237448	0.7386812	0.9684284	1.0270260	0.9691188	1.0236171	0.0802360	0.9540970	1.0476007	0.9364478

0	0.1261171	0.7067174	1.0226827	0.8871152	1.0972204	1.0433856	0.0732812	0.9802014	1.0838423	1.0386250
50	0.1122232	1.0088342	0.9793779	0.9928824	0.5146792	0.9423910	0.0298170	0.5010933	0.9738350	0.9679877
100	0.0851041	0.9382790	1.0105262	1.0051584	0.4242777	1.0431730	0.0535485	0.3626257	1.0898919	1.0028971
150	0.1197418	0.9562606	0.9664463	0.9676139	0.3314050	1.0844237	0.1483662	0.3774460	1.0513058	0.9669766
200	0.1135124	0.9043486	0.9525693	0.8634916	0.3172052	1.0417273	0.1740935	0.2870593	0.9395683	0.9120387
250	0.1254820	0.8654857	0.9581047	0.8540922	0.2720604	1.0521345	0.2471538	0.2994421	0.9241475	1.0025697
300	0.0820475	0.8364711	1.0063379	0.8022701	0.2932270	1.0833759	0.2024971	0.2758945	0.9314696	0.9805769
350	0.0931899	0.9072400	0.9228038	0.7684071	0.3171829	1.0085100	0.2292990	0.2721471	1.0103408	0.9722150
