"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C

0	0.6171126	0.4216540	0.5234290	0.2881035	0.6815250	0.3187162	0.0499217	0.0589086	0.6057478	0.7399939
50	0.6281856	0.4135623	0.5882828	0.3764256	0.6169842	0.2746063	0.0436796	0.0957083	0.8239243	0.7311891
100	0.6279464	0.4667164	0.7013897	0.3784405	0.6314016	0.2357434	0.0459815	0.0999640	0.8025461	0.8179817
150	0.4800759	0.4814763	0.5341973	0.4538971	0.6189031	0.2829740	0.0433921	0.0870520	0.7396247	0.6817089
200	0.4399373	0.5575257	0.5331782	0.3974362	0.6132283	0.3777241	0.0453714	0.0685015	0.8361402	0.7333990
250	0.4590443	0.4576742	0.5583152	0.5184799	0.6498745	0.3045489	0.0469335	0.0620462	0.7164787	0.7732720
300	0.3722580	0.4748788	0.4830053	0.4565388	0.6935471	0.3782538	0.0993724	0.0999776	0.5784896	0.7612523
350	0.4064094	0.4374722	0.4895425	0.5143848	0.6003493	0.3383375	0.1040486	0.0930428	0.6576285	0.7641930
400	0.2842349	0.5528531	0.4630209	0.4312872	0.7133534	0.2801974	0.0769052	0.1341281	0.8185900	0.7342111
450	0.3971899	0.4481366	0.5894960	0.4821709	0.6359992	0.3042598	0.0508155	0.0892605	0.5819310	0.7942805
500	0.5980178	0.3252163	0.5225878	0.3832493	0.6613683	0.3716829	0.0749874	0.0904282	0.7334165	0.8289098
550	0.6802869	0.3233526	0.5892994	0.3973313	0.6065791	0.2688495	0.0856709	0.1260029	0.6995958	0.7451939
600	0.5238082	0.4406178	0.5612907	0.3180925	0.6306201	0.2644495	0.0567111	0.0979013	0.7278540	0.6800374
650	0.5492365	0.3739596	0.5652063	0.5918190	0.6812948	0.2293546	0.0431991	0.0990952	0.7825260	0.9190387
700	0.5143948	0.3654930	0.6703585	0.3945126	0.6765171	0.2100585	0.0480173	0.1462251	0.6582170	0.8216075
750	0.5051251	0.3286958	0.4133781	0.4816384	0.6917309	0.2741608	0.0258841	0.1125767	0.7528678	0.6677384
800	0.3990243	0.4922257	0.3746320	0.5352507	0.6308844	0.2191033	0.0338068	0.1194999	0.8276766	0.6186101
850	0.4585123	0.3757640	0.4917804	0.3712395	0.6386048	0.3004193	0.0650550	0.0965505	0.7421789	0.7730617
900	0.4718696	0.4942540	0.4535159	0.4213325	0.5606158	0.2138902	0.0352661	0.0756256	0.6753168	0.8165675
950	0.4172496	0.3386771	0.5789071	0.3928311	0.6017679	0.1801289	0.0260324	0.0950555	0.7943987	0.6334306
1000	0.5654137	0.3398314	0.4424662	0.3973521	0.7111537	0.2260574	0.0280421	0.0901199	0.8369960	0.7358318

0	0.6441567	0.4329418	0.6126261	0.4107005	0.6677774	0.2943968	0.0488551	0.0750733	0.5815372	0.6657023
50	0.4456842	0.4963804	0.5300558	0.5438976	0.5557028	0.2132916	0.0744010	0.0899948	0.7969065	0.6922216
100	0.3330729	0.6445847	0.4056345	0.5167266	0.6457249	0.2165445	0.0607405	0.0657155	0.7617417	0.7156692
150	0.3725536	0.5282282	0.4087376	0.4773032	0.5284045	0.1755821	0.0412790	0.0723297	0.7240126	0.7285544
200	0.3072735	0.6946693	0.3382618	0.4575712	0.7441510	0.2565854	0.0359502	0.1344296	0.7980820	0.5182130
250	0.2547947	0.5455119	0.4418257	0.5099741	0.6710311	0.2060154	0.0721767	0.1378670	0.7996062	0.4542157
300	0.2781401	0.6137012	0.5449038	0.5534978	0.6619060	0.1144910	0.0288734	0.1149755	0.7295926	0.5487728
