YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.0000000	0.7644856	0.0131533	0.0525180	0.1815128	0.7910282	0.0566944	0.0656809	0.6727125	0.8127051
0.6538731	0.0000000	0.0240192	0.0295954	0.4681621	0.7801929	0.0382116	0.0384127	0.6392855	0.7688292
0.0868846	0.6967600	0.0000000	0.0693874	0.2076748	0.7978671	0.0306347	0.0429143	0.6869911	0.8055066
0.0181435	0.7441258	0.0088523	0.0000000	0.2096664	0.7864852	0.0338080	0.0356889	0.5228402	0.8172611
0.0292215	0.6956543	0.0045318	0.0206064	0.0000000	0.7066908	0.0313993	0.0584341	0.7011728	0.7667850
0.7548394	0.6268167	0.0984957	0.4784059	0.4367213	0.0000000	0.1154524	0.1589154	0.5728015	0.7503027
0.0712845	0.8443617	0.0131723	0.0579500	0.1508643	0.7332780	0.0000000	0.0778766	0.7388192	0.9044011
0.0830692	0.7127063	0.0152520	0.0649948	0.1350181	0.7947046	0.0286229	0.0000000	0.8315147	0.7706401
0.0498640	0.7982230	0.0047194	0.1002174	0.2615860	0.7526907	0.0827497	0.0387123	0.0000000	0.7156924
0.1109674	0.6956058	0.0234229	0.1222274	0.3464835	0.7642065	0.0632383	0.0564020	0.0201966	0.0000000
