YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.1266561	0.5687190	0.6294338	0.9224497	0.0528638	0.0218563	0.0468902	1.0517094	1.0676529	1.0366901
0.0591538	0.2827950	0.6031968	0.9714779	0.0314312	0.0113340	0.0440616	1.0171113	1.0387782	1.0610168
0.4737277	0.9294375	0.2989398	0.9775439	0.0381754	0.0167957	0.0559304	1.0770620	0.9842739	0.9550455
0.2831690	0.6046863	0.5602926	0.4551807	0.0307684	0.0157407	0.0335148	1.0357721	1.0176367	0.9880671
0.2367786	0.4823388	0.6176100	1.0035478	0.0157037	0.0199490	0.0306405	0.9872465	1.0151120	0.9297415
0.2464355	0.5664664	0.6094189	0.9855351	0.0383425	0.0024365	0.0485336	1.0345113	1.0313523	1.0066690
0.2172063	0.5850068	0.5957860	0.9942564	0.0365690	0.0175444	0.0215574	0.9435749	0.9933906	0.9478546
0.2013402	0.5686928	0.6277750	0.9023407	0.0369009	0.0071208	0.1164487	0.5230726	1.0713348	0.9586836
0.3732393	0.7944241	0.3917666	0.8976694	0.0291043	0.0110707	0.0663444	0.9910649	0.5304182	0.9719298
0.2896276	0.6586044	0.5382972	0.9109196	0.0477913	0.0215378	0.0443208	0.9966898	1.0259531	0.4891743
