YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.7158590	0.9909300	1.0000000	0.0008356	0.9999958	0.0479694	0.0012016	0.9781650	0.9999712	0.0250687
0.6760502	0.9913992	0.8693626	0.0303998	0.9747443	0.0000531	0.0013881	0.9273065	0.9999958	0.0140848
0.6796103	0.9152956	0.8765141	0.0044263	0.9747439	0.0479694	0.0013141	0.9272960	0.9998797	0.0386147
0.7957664	1.0000000	0.8366880	0.9515141	0.9997288	0.0496482	0.0453862	0.8352871	0.3179611	0.5812393
0.6788531	1.0000000	0.5921893	0.9377898	0.9747236	0.0002659	0.0021513	0.8707009	0.6309432	0.4204590
0.7139753	1.0000000	0.8933602	0.0112930	0.9999977	0.0000745	0.0436168	0.9868600	0.9997300	0.0492537
0.6788534	1.0000000	1.0000000	0.0005637	0.9747386	0.0001519	0.0443182	0.9074992	0.7996540	0.0226412
0.7284409	1.0000000	0.8574172	0.0023774	0.9747396	0.0480248	0.0438123	0.9600361	0.8313683	0.0328771
0.7618368	1.0000000	0.7013189	0.9519724	0.9999260	0.0005992	0.0454674	0.8319924	0.4614592	0.5942587
0.8001409	0.9621442	0.7339724	0.9774809	0.9999957	0.0001096	0.0442298	0.9151301	0.8569411	0.3424690
