YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.0000000	0.1387487	0.2662561	0.5719552	0.7889109	0.9187021	0.6540099	0.7622016	0.6629847	0.8940791
0.0298356	0.0000000	0.3209890	0.4325658	0.8934685	0.8860093	0.6455063	0.7193338	0.9619703	1.2043943
0.0804971	0.0365329	0.0000000	0.5205082	0.8784307	0.9024439	0.6858277	0.7274882	0.8755625	1.1074815
0.1088069	0.0395516	0.0028638	0.0000000	0.8450602	0.8922538	0.7424192	0.6463097	0.8727999	0.9050812
0.4552878	0.2661708	0.6450749	1.0377881	0.0000000	0.7667391	0.5423716	0.7683359	0.9567926	1.0861780
0.1177243	0.0274131	0.0003368	0.0015702	0.0191755	0.0000000	0.5729825	0.7234864	0.8917335	1.1041395
0.1030303	0.0535094	0.1877295	0.5000597	0.2661802	0.0777532	0.0000000	0.7927448	0.8621556	1.0265833
0.2626277	0.1362656	0.2645706	0.4700191	0.9024263	0.9318912	1.0267426	0.0000000	0.7939432	1.0600416
0.2167409	0.1109862	0.1736709	0.4745117	0.9748478	0.8931153	0.8609638	0.0504504	0.0000000	1.0197002
0.1747591	0.0911743	0.2747718	0.4973966	0.8336766	1.0634345	0.8652716	0.0351164	0.0888963	0.0000000
