"Time"	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C

0	0.0496958	0.7361260	0.0023958	0.0799308	0.1970808	0.7844741	0.0171374	0.0735231	0.5991392	0.6975167
50	0.2166562	0.5450647	0.0344327	0.0751170	0.1779641	0.6509364	0.1829188	0.0521311	0.6142285	0.7529888
100	0.1539807	0.6138722	0.0274228	0.1107845	0.2255576	0.6875109	0.2987182	0.1259178	0.5718089	0.6528348
150	0.1404665	0.5763098	0.0096183	0.0923442	0.1799220	0.7293241	0.3748414	0.3862899	0.6708854	0.8347841
200	0.3282917	0.6509713	0.0076935	0.1134929	0.2321443	0.5270814	0.5096298	0.5056516	0.7230473	0.8077805
250	0.3162625	0.5082020	0.0133359	0.1780907	0.2314905	0.6363253	0.4191610	0.5985877	0.7223793	0.6383671
300	0.4150820	0.5601518	0.0133665	0.2953051	0.3668474	0.6005589	0.4819300	0.8298504	0.6410900	0.7167164
350	0.3694898	0.5964705	0.0247376	0.2372321	0.3545693	0.5320426	0.5760890	0.8522283	0.7204170	0.7446760
400	0.4104940	0.4832138	0.0257376	0.3668303	0.3500915	0.5023442	0.5658501	0.7592342	0.7079628	0.7994292
450	0.5480562	0.5242270	0.0730159	0.3495635	0.4683825	0.4685760	0.6986106	0.6839776	0.5922993	1.1677720
500	0.4250090	0.4292819	0.0530521	0.3001902	0.3124632	0.6074741	0.5742145	0.7328818	0.6771547	0.7207099
550	0.5208420	0.5137255	0.0567265	0.3313903	0.3361618	0.4577012	0.3715822	0.8352566	0.8188780	0.7034490
600	0.4759493	0.6574405	0.0563656	0.4268071	0.4211986	0.5346758	0.2901083	0.8353926	0.6285223	0.6761016
650	0.5839285	0.5790606	0.0829566	0.4696193	0.3559086	0.6136310	0.1407889	0.7519314	0.5467556	0.6777974
700	0.5194685	0.5979287	0.1500775	0.3746692	0.2532203	0.5422289	0.1100527	0.3612990	0.6635054	0.6728498
750	0.4059750	0.6542791	0.0832122	0.3181024	0.3492288	0.6251150	0.1320571	0.2320541	0.7589022	0.7171283
800	0.4852556	0.7057259	0.0643068	0.3224184	0.1880150	0.6588880	0.0994412	0.1326895	0.6347900	0.7126825
850	0.3134511	0.7058831	0.0751058	0.2006722	0.2142684	0.7059603	0.1619106	0.0602688	0.7992858	0.8124411
900	0.1889627	0.7297686	0.0360700	0.1269669	0.2317463	0.7669458	0.1010836	0.0431363	0.6395092	0.7346982
950	0.2037389	0.7910297	0.0135257	0.1177843	0.2545527	0.7874424	0.0616359	0.0265609	0.6792872	0.7835994
1000	0.1970177	0.8863966	0.0142031	0.1446119	0.3120746	0.6101357	0.1044048	0.0635527	0.6796522	0.6846926

0	0.0757439	0.6496016	0.0134074	0.1048133	0.1816725	0.7164138	0.0312020	0.0397082	0.5703693	0.7184233
50	0.1744734	0.7317770	0.0086438	0.1330419	0.1945685	0.6935168	0.0399109	0.0314567	0.7684970	0.7010243
100	0.2767695	0.6130005	0.0291956	0.1434186	0.2567967	0.5462997	0.0381236	0.0587612	0.6739500	0.8172273
150	0.3937241	0.7453735	0.0128276	0.2366554	0.2095664	0.6457889	0.0488162	0.0610006	0.7034656	0.8499521
200	0.4376987	0.6927805	0.0050000	0.2541787	0.1975469	0.8592591	0.1095634	0.0792611	0.6845725	0.7388816
250	0.4553731	0.7212213	0.0159476	0.2277912	0.1916572	0.8002275	0.0425057	0.0226349	0.6591807	0.9358115
300	0.3666778	0.6790378	0.0279453	0.1505177	0.2743078	0.7186812	0.0498615	0.0479730	0.6085116	0.9016870
350	0.2903495	0.7048362	0.0105807	0.2343276	0.3290267	0.7602258	0.0733406	0.0465535	0.7869986	0.7798366
400	0.3285339	0.7439215	0.0235285	0.2641328	0.1384336	0.8295422	0.0696722	0.0553569	0.8097847	0.8339714
450	0.4792491	0.6230882	0.0429058	0.1857552	0.2093253	0.8407167	0.0373962	0.0676840	0.7433147	0.8754653
500	0.4884900	0.7604670	0.0180541	0.2082859	0.1538153	0.7088423	0.0462371	0.0530785	0.6602742	0.7228150
550	0.3354087	0.6580130	0.0182095	0.1243394	0.1776997	0.7517798	0.0644683	0.0504459	0.5054395	0.4993697
600	0.2228473	0.6151195	0.0094928	0.0671786	0.1569372	0.6782904	0.0319957	0.0611487	0.6613960	0.7128901
650	0.1136140	0.6818833	0.0220902	0.0512140	0.1418031	0.7163482	0.0271713	0.0342546	0.6472933	0.7485262
700	0.0580239	0.8482405	0.0072646	0.0338141	0.1116684	0.7980454	0.0404451	0.0459124	0.6465942	0.6104549
750	0.0643113	0.7166619	0.0236703	0.0405141	0.2346597	0.7029753	0.0386268	0.0258104	0.6848374	0.8389962
800	0.0453465	0.7848716	0.0143260	0.0593438	0.2409040	0.6452482	0.0325529	0.0448996	0.6138983	0.7525799
850	0.0803241	0.7478410	0.0116516	0.1149375	0.2407771	0.7009782	0.0557107	0.0326482	0.7707872	0.7465053
900	0.0894936	0.7813789	0.0105948	0.1096612	0.2095532	0.6820035	0.0791693	0.0313839	0.6763434	0.7481870
950	0.0850032	0.6654033	0.0245845	0.1484223	0.1257477	0.6200324	0.0247874	0.0661014	0.6414134	0.7426941
1000	0.0580450	0.8121434	0.0076054	0.0766439	0.1944049	0.8692894	0.0696031	0.0301508	0.5331150	0.7218116

0	0.0609122	0.8618557	0.0032865	0.0507637	0.2038754	0.7096620	0.0614629	0.0611138	0.7323671	0.6787323
50	0.1569946	0.7351637	0.1777081	0.1001442	0.0866032	0.7308511	0.0457984	0.1997790	0.6861239	0.6982738
100	0.2559002	0.5923319	0.3388918	0.0389422	0.0212660	0.6787001	0.1390180	0.2789461	0.6838950	0.6299797
150	0.2807803	0.6428303	0.4187657	0.0513977	0.0212209	0.6478395	0.0830839	0.4091319	0.6681250	0.8642826
200	0.2432907	0.6925663	0.4570369	0.0403903	0.0140030	0.8028890	0.1215095	0.3978047	0.6657945	0.9160916
250	0.3092423	0.5777177	0.4590056	0.0124508	0.0175835	0.7163997	0.1493894	0.4799863	0.6384324	0.8154605
300	0.2770180	0.6117767	0.4459216	0.0227887	0.0058256	0.6663599	0.1169736	0.4708797	0.6499187	0.7071670
350	0.2642781	0.5922740	0.4817772	0.0355371	0.0033464	0.6289388	0.1746440	0.4524132	0.7430642	0.7290874
400	0.3658713	0.6954708	0.5373574	0.0442695	0.0014168	0.6837047	0.1070593	0.4006885	0.6672807	0.6734806
450	0.2965324	0.6798587	0.4262495	0.0426254	0.0004452	0.7321847	0.1786436	0.3949345	0.7769395	0.8671913
500	0.2219975	0.5677340	0.4906375	0.0247229	0.0052212	0.7055008	0.1694553	0.4694585	0.6387454	0.7946875
550	0.2250440	0.6076616	0.4207764	0.0235214	0.0620499	0.8690280	0.1582330	0.3176764	0.7347380	0.7433271
600	0.1023175	0.7114984	0.1652493	0.0250669	0.1570239	0.7240115	0.1305997	0.1962070	0.7931447	0.7768538
650	0.0782618	0.8382119	0.0793503	0.0273721	0.1962614	0.9369973	0.1594172	0.1201485	0.6717377	0.7040449
700	0.0487691	0.6501064	0.0374747	0.0448535	0.2476659	0.7667877	0.1090068	0.0786005	0.7649001	0.7261199
