"Time"	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C

0	0.0900299	0.9848965	0.0148285	0.1045786	0.2647249	1.0638111	0.0478035	0.0547005	0.8941650	0.9378282
50	0.2836043	0.8020955	0.0241137	0.1432585	0.2994878	0.9876925	0.4483619	0.0788011	0.8658553	0.9893999
100	0.3184231	0.7073242	0.0174081	0.1246923	0.2919455	0.9417509	0.6391758	0.4447675	0.9107613	0.9298715
150	0.3359559	0.7395919	0.0156128	0.2156435	0.3058911	0.8497235	0.6752041	0.7244623	0.8194455	0.9329651
200	0.3736094	0.7645259	0.0186555	0.2096297	0.3193343	0.7563836	0.6498756	0.7844044	0.8940718	1.1408364
250	0.3971308	0.6994767	0.0200041	0.2960480	0.4122920	0.8805575	0.7059586	0.8592397	0.9033148	1.1069656
300	0.5319130	0.7100723	0.0356549	0.3855211	0.3681191	0.7780475	0.7713053	0.9633780	0.8054793	1.1292630
350	0.5835628	0.6435585	0.0461621	0.4266169	0.4309004	0.6716973	0.8165310	1.1156527	0.9152522	1.0098276
400	0.6373451	0.6582782	0.0720691	0.4313170	0.4538611	0.6320318	0.8421785	1.0494921	0.9400492	1.1194249
450	0.7433221	0.6076270	0.1152086	0.4479026	0.4492405	0.6400174	0.7854153	0.9846534	0.8851352	1.0573584
500	0.6764917	0.6444721	0.1075487	0.3858437	0.4171169	0.6569759	0.7184221	1.0562950	0.8660810	1.0879022
550	0.6917139	0.8422504	0.0973573	0.5126424	0.4771724	0.6761295	0.2625597	1.1039963	0.9098305	0.9755670
600	0.7154435	0.8585027	0.1385139	0.5861555	0.4694951	0.8439954	0.1243450	0.9191439	0.8574547	0.9396454
650	0.7258253	0.7657993	0.1640417	0.6280208	0.4131290	0.9100633	0.0741152	0.4659087	0.8728005	1.0365002
700	0.5088761	0.7150785	0.1740428	0.4410097	0.3920165	0.9357938	0.0662029	0.1824330	0.8859073	1.0572893
750	0.4973178	0.8643531	0.1493865	0.4525831	0.4158504	0.9739498	0.0596718	0.0833132	0.9567695	1.0688236
800	0.4058372	0.9780379	0.1136139	0.3505860	0.3231209	1.0183932	0.1179797	0.0698820	0.9041808	0.9705726
850	0.2467808	1.0192051	0.0797775	0.1691812	0.2639036	0.8839563	0.1638058	0.0746451	0.8524898	0.9742858
900	0.1570311	0.9534069	0.0419851	0.0957405	0.2893043	0.8671113	0.1319164	0.0462837	0.8175485	1.0296091
950	0.1830328	1.0692192	0.0285307	0.2108160	0.3315296	0.9275321	0.0992904	0.0638434	0.8508498	0.9658463
1000	0.2316053	1.1158947	0.0311737	0.2070923	0.3452022	0.9514141	0.0735706	0.0594434	0.9348783	1.0473771

0	0.0900299	0.9848965	0.0148285	0.1045786	0.2647249	1.0638111	0.0478035	0.0547005	0.8941650	0.9378282
50	0.3365484	0.9651698	0.0198050	0.2232909	0.2753419	0.9658300	0.0447211	0.0673530	1.0039046	1.0232414
100	0.5501421	0.9486558	0.0132105	0.3242206	0.3725530	0.9344056	0.0432754	0.0440884	0.8834038	1.0166096
150	0.5807131	0.8770145	0.0233111	0.3633186	0.3107290	1.0093944	0.0487000	0.0499985	0.8479952	1.0086883
200	0.5936353	0.8754492	0.0353840	0.3328822	0.2584579	0.9310340	0.0537041	0.0325207	0.8738318	1.0530324
250	0.5112073	0.8457089	0.0525567	0.2683637	0.2508620	0.9602928	0.0408811	0.0452388	0.8790046	1.0827307
300	0.4895061	0.8983813	0.0336938	0.2507185	0.2824513	1.0356076	0.0755218	0.0496826	0.9086356	1.0064890
350	0.5694371	0.9344976	0.0322967	0.3309068	0.3021351	1.1029793	0.0595653	0.0639778	0.9162908	1.0534950
400	0.5873295	0.9393279	0.0348747	0.3016078	0.2214360	1.0414277	0.0995429	0.0546373	0.9261613	1.0392057
450	0.5649720	0.9413605	0.0248940	0.2437409	0.2207243	1.0365892	0.0880474	0.0617880	0.9120081	1.0214631
500	0.5999279	0.8490291	0.0373345	0.2192093	0.1847181	0.9845859	0.0664562	0.0625087	0.8427883	0.9896491
550	0.2651490	0.9299279	0.0276489	0.0637345	0.2456985	1.0154660	0.0661199	0.0550852	0.9109555	1.0503778
600	0.1166773	0.9518348	0.0190668	0.0562030	0.1987522	1.0639345	0.0886188	0.0674265	0.8784493	1.0659155
650	0.0396194	1.0388267	0.0149097	0.0592479	0.1803876	0.9927787	0.0686673	0.0633216	0.9250796	0.9229779
700	0.0380510	0.9460228	0.0146290	0.0617973	0.2199477	0.8911815	0.0630394	0.0741872	0.8603028	1.0382558
750	0.0754357	1.0163801	0.0142723	0.0976216	0.2864980	0.9041138	0.0527987	0.0631133	0.8109812	1.0043036
800	0.0927055	1.0291099	0.0107165	0.1186180	0.3208825	0.9602339	0.0780426	0.0594756	0.8953690	0.9938276
850	0.1243879	1.0208765	0.0177874	0.1853894	0.2505461	0.9441348	0.0680237	0.0613143	0.9588685	1.0354713
900	0.0956820	1.0061176	0.0128275	0.1353990	0.2554311	0.9606971	0.0470884	0.0514853	0.8547434	1.0588048
950	0.0757765	0.9550373	0.0145898	0.0949117	0.2753220	0.9665619	0.0585618	0.0510194	0.7699708	1.0555901
1000	0.0619151	0.9353993	0.0192634	0.0970068	0.2480891	1.0693209	0.0598689	0.0521708	0.8507590	1.0850090

0	0.0900299	0.9848965	0.0148285	0.1045786	0.2647249	1.0638111	0.0478035	0.0547005	0.8941650	0.9378282
50	0.2640554	0.8887086	0.4119200	0.0447324	0.0686285	0.9633316	0.1422538	0.4875388	0.7888008	1.0477756
100	0.3450740	0.9166060	0.5952249	0.0498399	0.0175743	0.9370705	0.2134839	0.5413966	0.7964860	1.0284567
150	0.3641794	0.7605782	0.5961508	0.0587197	0.0192105	0.9777195	0.2148293	0.5404550	0.8857145	1.0201646
200	0.3668234	0.8467284	0.6827828	0.0227783	0.0188228	1.0477425	0.2138705	0.6307971	0.9330247	1.0249409
250	0.3681199	0.8129724	0.6707034	0.0369543	0.0045956	1.0014993	0.1572307	0.5725493	0.8578879	1.0991865
